agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.250000152319302, 0.250000906563541, 0.25000350055732673, 0.2500033616014192, 0.250005600412763, 0.25000661428151005, 0.25000440314484, 0.2500037884234492, 0.2500043836016295]","[0.25, 0.24999972375302984, 0.2499987989163798, 0.24999688831920783, 0.24999557707524211, 0.24999559007922983, 0.24999469105915653, 0.24999383411648196, 0.24999207397974355, 0.24999138300288493]","[0.25, 0.2500000014733717, 0.25000016325767754, 0.25000035495301975, 0.25000174308885137, 0.25000056547440747, 0.24999826498594027, 0.2500037452033968, 0.25000301938601993, 0.25000348918502446]","[0.25, 0.2500001224542964, 0.25000013126388837, 0.24999925619018376, 0.24999931827038677, 0.24999824409409124, 0.25000042975190045, 0.2499980175313081, 0.2500011182039385, 0.2500007442385401]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999331813591654, 0.3999908119089372, 0.3999864509345355, 0.3999857209278034, 0.3999769416785925, 0.3999783533152421, 0.39997507687840866, 0.39996836499389077, 0.39996374651227834]","[0.4, 0.3999921513435979, 0.39998776807608855, 0.3999824893886411, 0.39997701959814697, 0.39996490883528985, 0.3999586314827604, 0.39995313197114196, 0.39994537232705424, 0.3999385750101011]","[0.1, 0.10000004386836049, 0.10000092768121756, 0.10000278359116571, 0.10000337105245434, 0.10000649765639605, 0.10000770105111192, 0.10000928589077236, 0.10000940255969068, 0.1000091789875759]","[0.1, 0.10000358876176091, 0.10000442738497757, 0.10000498149764035, 0.10000594411600754, 0.10000804049738904, 0.10000805372823617, 0.1000086632333488, 0.10001216509264595, 0.10001524329123374]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000137516599583, 0.10000427313272574, 0.10000571489049935, 0.10000821337630093, 0.1000087490231152, 0.1000097413756546, 0.10001028256266453, 0.10001039460850636, 0.10001348384202406]","[0.1, 0.1000000911810735, 0.09999955753272936, 0.09999962571982045, 0.09999909578371355, 0.10000075601504126, 0.10000094515450395, 0.10000269013435159, 0.10000613393930703, 0.10000702053239101]","[0.4, 0.3999967961678995, 0.39999201610222485, 0.3999890112217519, 0.3999856366394941, 0.39998158418930513, 0.3999775184068012, 0.39997293968884673, 0.3999632473060203, 0.3999557712146764]","[0.4, 0.3999973384438233, 0.39999266146282075, 0.399989626924702, 0.39998512809660375, 0.39998039747155256, 0.3999797378585441, 0.39997517267451377, 0.39997064300770097, 0.3999622185997914]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3999938151595223, 0.3999911232162194, 0.39998863045799, 0.399985708812516, 0.39998126463421996, 0.39997736667377437, 0.39997290059038165, 0.39997045525840985, 0.39996242760512923]","[0.1, 0.10000137010193148, 0.10000264357005256, 0.10000264502627494, 0.10000307014120231, 0.1000047042975123, 0.10000610186926902, 0.1000077449947087, 0.10000766180483123, 0.10000935440315444]","[0.4, 0.3999937075710574, 0.3999879024121096, 0.39998561634222674, 0.3999827996144143, 0.3999782808745913, 0.39997373415466886, 0.3999690946822131, 0.39996639746214313, 0.3999568702637599]","[0.1, 0.1000017492154236, 0.10000260008843277, 0.10000379340141892, 0.10000480297543739, 0.10000540971624314, 0.10000612352630257, 0.10000675706822032, 0.10000812607568696, 0.1000108228874289]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000328306412919, 0.1000079309676545, 0.10000834625074587, 0.10000843371960615, 0.10000902408575502, 0.1000095546567233, 0.10001020429460036, 0.10001119967718855, 0.10001849074501137]","[0.4, 0.39999030599932767, 0.39998133718250456, 0.3999753653252183, 0.39996964973830573, 0.3999647239721512, 0.39995951537319085, 0.3999527659699401, 0.39994859581301156, 0.3999337444330649]","[0.1, 0.09999987379487646, 0.10000024768000723, 0.10000179947437658, 0.10000360487086958, 0.10000537478270821, 0.10000666456038348, 0.10000815767897772, 0.10000904905750942, 0.10000892006905841]","[0.4, 0.39999706656464984, 0.3999859491342116, 0.3999840531740066, 0.399982197884647, 0.39997768356789093, 0.3999756118160315, 0.3999737916338396, 0.399970416157044, 0.39995662536759696]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24999937801634992, 0.24999963813839018, 0.24999899350565413, 0.24999797775039537, 0.24999678071485704, 0.24999641349453702, 0.24999682464481637, 0.24999540554297356, 0.249995666058013]","[0.25, 0.2499984312259818, 0.2499976200928638, 0.2499981080699758, 0.24999808048380265, 0.24999832869798502, 0.2499966028844346, 0.24999570407566332, 0.24999538571247518, 0.2499945009772434]","[0.25, 0.24999942082176618, 0.24999969609449765, 0.25000025536703124, 0.2499991038479557, 0.24999790352081386, 0.2499972861930362, 0.24999751651331667, 0.24999736922151514, 0.24999771220234657]","[0.25, 0.2500027699359021, 0.2500030456811086, 0.2500026430549019, 0.2500048379417359, 0.2500069871439035, 0.25000969760274616, 0.250009954954755, 0.2500118398115979, 0.25001212107221144]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3999972714840753, 0.39999221578819566, 0.3999872815377554, 0.39998161152560324, 0.3999770826231948, 0.39997321574900707, 0.3999701089035471, 0.39996591993830893, 0.3999609834380014]","[0.4, 0.39999551572249237, 0.3999861343523469, 0.39998015814462523, 0.39997226592529395, 0.39996702260376865, 0.39995866945837866, 0.3999544437195821, 0.39994912237713526, 0.3999457739596524]","[0.1, 0.10000081605278385, 0.10000146469168056, 0.10000374466016004, 0.10000315751830217, 0.1000048500569836, 0.10000471076053735, 0.10000563523969255, 0.10000739946567536, 0.10000792611104813]","[0.1, 0.10000098714557425, 0.10000394784261799, 0.1000043956155477, 0.10000837361109062, 0.10000912438764012, 0.10001231920127537, 0.10001322818487934, 0.10001384194620323, 0.10001538699472416]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000058650571962, 0.10000113954322967, 0.10000225927616271, 0.10000259023292372, 0.10000314495384924, 0.1000043123168014, 0.1000054579469212, 0.10000593872322265, 0.10000903374616368]","[0.1, 0.10000161108100503, 0.10000328159726764, 0.10000329907553235, 0.10000481368023516, 0.10000648882930353, 0.10000654803766384, 0.10000656783025837, 0.10000812092457055, 0.10000894810748416]","[0.4, 0.39999564016483263, 0.3999912494053245, 0.39998897606419864, 0.39998361119473763, 0.39997915032673076, 0.39997669943153086, 0.39997435885671934, 0.3999705029970656, 0.39996272656081616]","[0.4, 0.39999556948826887, 0.39999106625105, 0.3999887909012713, 0.39998677395903137, 0.39998231605724927, 0.3999798610657106, 0.3999775404056476, 0.399973261783236, 0.39996535150221896]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39999557424679, 0.39999308833563796, 0.3999887482347631, 0.39998017960140847, 0.39997566674492363, 0.3999736405326257, 0.3999709484922669, 0.39996892439935555, 0.3999668381063701]","[0.1, 0.1000016434232633, 0.10000159483166418, 0.10000324925897139, 0.10000442126135285, 0.10000606823997656, 0.10000744251482738, 0.10000733597041625, 0.10000881865921102, 0.1000102452034102]","[0.4, 0.3999954615397005, 0.39999403551306484, 0.39998952310691455, 0.3999820062808626, 0.3999774804513438, 0.3999729659058259, 0.3999702695935079, 0.39996489462295715, 0.3999594966906361]","[0.1, 0.1000005976301141, 0.10000162422241815, 0.10000218299289794, 0.10000503256513413, 0.10000564546847557, 0.10000590657556946, 0.10000736037599972, 0.1000077277255054, 0.10000817255676583]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000347409637371, 0.10000389797469456, 0.10000483023185854, 0.10000760447929297, 0.10001094276365524, 0.10001391143941776, 0.10001698723790227, 0.10001798904100702, 0.10002159081373181]","[0.4, 0.3999923861286274, 0.39998623378464704, 0.39998203748021827, 0.39997424978280455, 0.39996824073266823, 0.3999614779817606, 0.3999517355771368, 0.39994742405254047, 0.39993926394874035]","[0.1, 0.10000006565469968, 0.1000015863973371, 0.10000247864371492, 0.10000304818160517, 0.10000299845343932, 0.10000377141668836, 0.10000442253302157, 0.10000529519707856, 0.10000604746047886]","[0.4, 0.3999934548670791, 0.3999918289338373, 0.39998872763384385, 0.3999831412895743, 0.39997599781216925, 0.39996779642816427, 0.399962634337013, 0.39995944964574903, 0.39995019836626267]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2500005761322316, 0.24999988785646207, 0.2499991404794799, 0.2499984658746428, 0.24999884294449207, 0.2499980490294825, 0.24999740048452437, 0.2499968862962037, 0.24999635103753007]","[0.25, 0.2499973763052234, 0.2499989341735482, 0.24999589081220847, 0.2499972716344392, 0.249995372310331, 0.24999669886393786, 0.24999853668503694, 0.2499997694332894, 0.2500013297926239]","[0.25, 0.2500020653711634, 0.2500013243802628, 0.25000341725682595, 0.2500034544389336, 0.25000388640005156, 0.2500035105942537, 0.2500027831746321, 0.250002998164912, 0.2500023124825454]","[0.25, 0.2499999821913816, 0.2499998535656786, 0.25000155145083996, 0.2500008080268561, 0.25000189834790426, 0.2500017414871902, 0.2500012795980321, 0.25000034604356647, 0.2500000066218069]",replicator,Stag Hunt,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999602597055656, 0.39999323659979097, 0.39998831601034496, 0.39998515318455174, 0.399979422044835, 0.3999767916556834, 0.3999743510167748, 0.399971310540905, 0.3999605307383336]","[0.4, 0.3999938169075887, 0.39998880445852303, 0.39998665746024, 0.39998125535405976, 0.3999732373852064, 0.3999681929479767, 0.39996268278027586, 0.3999573160315346, 0.3999450781106827]","[0.1, 0.10000074829613599, 0.10000168925151673, 0.10000279720787142, 0.1000039996689214, 0.10000700307980759, 0.1000079589849266, 0.10000892820375627, 0.10000968110082967, 0.10001538083445562]","[0.1, 0.10000179098432771, 0.10000280053532523, 0.10000345954889779, 0.10000439845510369, 0.10000483260769771, 0.10000579564086336, 0.100006814404812, 0.10000816364696768, 0.10000821942031117]",replicator,Stag Hunt,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
