agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.2500036125077966, 0.2500062770838663, 0.2500046496444741, 0.25000549016196255, 0.250007146841452, 0.2500093204721206, 0.2500103098330385, 0.2500120299987799, 0.25001128816871565]","[0.25, 0.24999811996664253, 0.24999621258142563, 0.24999566271420476, 0.24999439660440467, 0.24999341838904401, 0.2499933545436537, 0.24998965668084192, 0.24998918281485127, 0.24999103165397285]","[0.25, 0.24999906126890264, 0.24999885763577784, 0.24999716681359577, 0.24999692989459496, 0.2499960629580481, 0.24999492840473939, 0.24999399687423357, 0.24999418151890432, 0.2499934429918514]","[0.25, 0.2499992062566582, 0.24999865275429883, 0.2500025208374442, 0.25000318339572075, 0.25000337193949285, 0.25000239677605557, 0.2500060369974343, 0.25000460610456826, 0.2500042375172663]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999565457584446, 0.39999130246483133, 0.3999853795698423, 0.3999777722783558, 0.3999751331729511, 0.3999739431778111, 0.39996976587818855, 0.3999658754873021, 0.3999629018460781]","[0.4, 0.3999900476815406, 0.3999811902459086, 0.3999733715440098, 0.3999645196042025, 0.39995981899015975, 0.39995407430306396, 0.39994864432670724, 0.3999398806803553, 0.3999359839690737]","[0.1, 0.10000068413778002, 0.10000334727310527, 0.10000391587798091, 0.10000385095518237, 0.1000053729040326, 0.10000657903709506, 0.10000772081555898, 0.10000775282455905, 0.10000851460676163]","[0.1, 0.10000289029787375, 0.10000352965282427, 0.10000639669151469, 0.10001057690381963, 0.10001089011747527, 0.10001141794002423, 0.10001267842348448, 0.10001581067818044, 0.10001676690418722]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000068446132607, 0.10000112527324446, 0.1000025316346436, 0.10000411702367107, 0.1000053707726242, 0.10000662937606059, 0.10000750706684616, 0.10000807318012254, 0.10001288142191388]","[0.1, 0.1000017015541414, 0.10000360765641916, 0.1000035537580858, 0.10000338924805598, 0.10000328183592255, 0.10000333132062897, 0.10000319828861116, 0.10000471438199308, 0.10000550003670727]","[0.4, 0.39999519559089597, 0.39999115867838664, 0.39998856477812567, 0.39998605547857075, 0.39998330010679845, 0.3999810053798998, 0.39997805643426226, 0.39997374022994453, 0.3999627067228191]","[0.4, 0.39999526034723426, 0.39998990985664634, 0.3999870940885332, 0.39998392018340084, 0.39998209056940487, 0.39997915344792007, 0.39997912411505715, 0.39997511230285443, 0.3999637733546282]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3999942841931579, 0.39999227971095147, 0.3999863615251724, 0.39998349563544217, 0.3999763761540339, 0.3999735166957746, 0.39996724803195344, 0.39996416954907354, 0.3999595792303548]","[0.1, 0.0999991169392045, 0.09999905982684136, 0.09999807979424287, 0.09999965401931991, 0.0999990417248559, 0.0999990383833065, 0.10000170128018236, 0.1000030855939755, 0.10000246392723312]","[0.4, 0.39999433870679685, 0.3999917746979957, 0.39998676452007254, 0.3999818237286152, 0.39997603800431375, 0.3999737944137231, 0.39996835003559855, 0.39996411915060326, 0.3999602349188621]","[0.1, 0.10000372733580683, 0.1000049266323596, 0.10000863900229733, 0.10000901651520103, 0.1000128555985031, 0.10001413494256793, 0.10001440051104678, 0.1000148437733163, 0.10001758465520076]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000319074776351, 0.10000579595987383, 0.10000934920905621, 0.1000097823181347, 0.10001489275462905, 0.10001554556850421, 0.10001876306022237, 0.10001998492820584, 0.10002273434202487]","[0.4, 0.39999086369422465, 0.3999825843023231, 0.39997472697909175, 0.39997072566305225, 0.39996196736918577, 0.39995612229474126, 0.39994722842561314, 0.39994136703997746, 0.3999310612813757]","[0.1, 0.0999997059005463, 0.10000072243232663, 0.10000078863168332, 0.10000176470433433, 0.10000072442832655, 0.10000213194497438, 0.10000305429748016, 0.1000036059797498, 0.10000452650884507]","[0.4, 0.39999754971253626, 0.3999913426765438, 0.39998472351664405, 0.39998308861378035, 0.39997556915070653, 0.399973174034782, 0.3999655120956626, 0.399964281144081, 0.39995991136233966]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2500022200018002, 0.25000110145131155, 0.25000026179798746, 0.24999941749958657, 0.24999934452133632, 0.24999887157680753, 0.24999713225130524, 0.24999848717194675, 0.2499983271901998]","[0.25, 0.25000005058732705, 0.25000004874288884, 0.24999966766381654, 0.24999771851209107, 0.24999651009197113, 0.2499948234796129, 0.24999416013068218, 0.24999344188342243, 0.24999380837316235]","[0.25, 0.24999887788918843, 0.24999777624705297, 0.2499972894345865, 0.24999761570530046, 0.2499989545254365, 0.249998370515209, 0.2499970227094997, 0.2499950538264994, 0.2499950276676029]","[0.25, 0.2499988515216843, 0.2500010735435505, 0.2500027810963025, 0.2500052483013301, 0.2500051908767882, 0.25000793452809644, 0.2500116851576443, 0.2500130174542162, 0.2500128370876001]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3999930107254215, 0.3999872047525913, 0.39998273459798256, 0.3999787099502808, 0.3999756024583584, 0.3999697272725898, 0.3999605532550659, 0.3999590068194644, 0.3999569604061455]","[0.4, 0.39999420310383554, 0.39998392050477605, 0.3999783621482635, 0.3999699087809789, 0.3999657404599219, 0.39995784701017484, 0.3999441803754089, 0.39993804679138945, 0.39993384837857593]","[0.1, 0.09999993137691038, 0.10000119827898017, 0.10000288331260732, 0.10000271322590494, 0.10000361424331596, 0.10000297471650442, 0.10000650480818411, 0.10000800029332911, 0.10000906488979498]","[0.1, 0.1000032651657754, 0.10000602055839151, 0.10000684281384832, 0.1000101327822623, 0.10001105095532008, 0.10001513332761232, 0.10001731436770979, 0.1000177393104493, 0.1000182363088559]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000106605241366, 0.10000250740284966, 0.10000345924373759, 0.10000452171340253, 0.10000563688466259, 0.10000668478073839, 0.10000724730230832, 0.10000789516145724, 0.10000828199675034]","[0.1, 0.09999990784991976, 0.09999971894938511, 0.09999961019327373, 0.1000011313822107, 0.10000112909852708, 0.10000107504379442, 0.10000274837646352, 0.10000437919747772, 0.10000588621428125]","[0.4, 0.39999855097787335, 0.39999658752218586, 0.3999945349795351, 0.3999893431203127, 0.3999871339986181, 0.3999845888155441, 0.39998010870211353, 0.39997549707730573, 0.399970295121686]","[0.4, 0.39999755341279314, 0.39999450715677826, 0.39999318749264184, 0.399988044999266, 0.399985802898112, 0.39998437308225193, 0.39997991034805525, 0.39997540807475923, 0.39997303547267066]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39999771827768854, 0.39999535470689473, 0.39999042026705256, 0.3999875849150733, 0.39998191857823445, 0.399979504222274, 0.3999755939275805, 0.3999732313959175, 0.3999745436240186]","[0.1, 0.10000002473349344, 0.10000011240016599, 0.1000017765057997, 0.10000306134224314, 0.10000227083224827, 0.10000219332990902, 0.10000364691658627, 0.10000363539540984, 0.10000323055084885]","[0.4, 0.39999771932815015, 0.3999953282302967, 0.39999139230471137, 0.3999863637899683, 0.3999808214148874, 0.39997916310243015, 0.399973874099661, 0.39997153535744134, 0.39996764889172987]","[0.1, 0.10000111586504691, 0.1000022168846226, 0.10000277041030582, 0.10000345162626932, 0.10000704450525927, 0.10000814029729482, 0.10000898675473853, 0.10001017377486132, 0.10001122231796446]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000105052198524, 0.10000160119054918, 0.1000050187874215, 0.10000829924149397, 0.1000085501473217, 0.10001148660554303, 0.10001220198225487, 0.10001474946336288, 0.10001536800991384]","[0.4, 0.3999967142737073, 0.3999929185818614, 0.3999845872716509, 0.3999786660538476, 0.39997405028465627, 0.3999645574757027, 0.3999595313457928, 0.39995325385055147, 0.3999479826677844]","[0.1, 0.10000077834183539, 0.10000233984419699, 0.10000257759593037, 0.10000250474785104, 0.1000039452590949, 0.10000463152659786, 0.10000532634818154, 0.10000569395021691, 0.10000742573566376]","[0.4, 0.3999959702710102, 0.39999131742896216, 0.39998502786990997, 0.3999781198014981, 0.3999759704937796, 0.39997097442836166, 0.3999703607123823, 0.3999649802304685, 0.39996085182208735]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
