agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.2500020180769402, 0.250001209802236, 0.2500015867690295, 0.2500001243174364, 0.2500000560168587, 0.25000114590436745, 0.25000065988400677, 0.2500013379607727, 0.2500027622912327]","[0.25, 0.24999774613824305, 0.24999726414346252, 0.24999615651176862, 0.24999352930223814, 0.24999355678021107, 0.24999471642643464, 0.2499951984564497, 0.2499941311117681, 0.24999113023169722]","[0.25, 0.25000145785942807, 0.250000426954662, 0.2500011725490081, 0.24999983942474877, 0.25000091058864204, 0.24999986658758516, 0.25000039030278826, 0.25000051558555947, 0.24999965890137338]","[0.25, 0.24999877792538863, 0.2500010990801021, 0.25000108416580974, 0.25000650699956595, 0.2500054766300265, 0.2500042710374947, 0.2500037512910631, 0.25000401530265454, 0.25000644865183835]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999590427479675, 0.3999885774974703, 0.399985776887691, 0.39997950032675267, 0.3999736105397874, 0.39997008701807374, 0.39996846803685193, 0.3999673806016099, 0.39996110939970936]","[0.4, 0.39999473630118076, 0.3999862958427383, 0.399981452842112, 0.3999738859179005, 0.3999632224591124, 0.39995957297809204, 0.39995432640726264, 0.3999487719825816, 0.39994113877503507]","[0.1, 0.1000017109810354, 0.10000164780154919, 0.10000243900302984, 0.10000249462470227, 0.1000017502686316, 0.10000271933869455, 0.10000341681192315, 0.10000435342544732, 0.10000438627168623]","[0.1, 0.10000062887497024, 0.10000463393402774, 0.10000575376155188, 0.10000915935197853, 0.10001404269767941, 0.10001486715303382, 0.10001588640114283, 0.10001661057963526, 0.10002005478148468]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000051608609126, 0.1000016405268995, 0.10000531456831425, 0.10000977123079098, 0.10001027324947025, 0.10001147808975364, 0.10001276843565117, 0.10001387863118455, 0.10001501640367765]","[0.1, 0.10000195222694859, 0.10000225850995613, 0.10000139226400238, 0.10000013953520569, 0.10000172243914471, 0.10000177839903154, 0.1000016232103923, 0.10000301559248172, 0.10000298235761713]","[0.4, 0.39999448609258226, 0.3999916195277834, 0.39998633765393826, 0.39997983302093104, 0.3999762429584333, 0.3999737582281712, 0.3999719454248611, 0.39996752471582775, 0.399965011599102]","[0.4, 0.39999564065525844, 0.3999927844425672, 0.3999868355153815, 0.3999805257211123, 0.39997577671039725, 0.3999732190413686, 0.3999704920984899, 0.3999649038767284, 0.3999629998415999]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.4000001623471231, 0.3999976809483209, 0.39999289204027594, 0.3999900987051614, 0.39998617643816364, 0.3999814281830043, 0.39996781136652926, 0.39996275744087123, 0.3999589194599437]","[0.1, 0.09999979742156247, 0.09999966212569389, 0.10000134213731035, 0.1000010782314294, 0.10000316778178214, 0.10000477994830302, 0.10000763981345216, 0.1000098801592105, 0.10001142705059972]","[0.4, 0.39999604801721933, 0.3999945342377726, 0.3999895186332796, 0.3999871550882289, 0.39998101527670415, 0.3999758842057853, 0.3999626228980083, 0.3999572590287547, 0.3999523302245746]","[0.1, 0.10000114998735195, 0.10000228409458604, 0.10000305524711636, 0.10000460844484246, 0.1000050345298505, 0.10000589239101498, 0.10000975277903251, 0.10001011731569416, 0.10001076255969804]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000042675119715, 0.10000096742349704, 0.10000438461164386, 0.1000053200784499, 0.10000887410550827, 0.10000984219366417, 0.10001309078868816, 0.10001387939451632, 0.1000178666149797]","[0.4, 0.3999935283118221, 0.3999877751420498, 0.3999800462631782, 0.39997557050768207, 0.399967791148438, 0.39996395014332836, 0.3999552957825767, 0.3999500196388526, 0.3999435493206681]","[0.1, 0.1000016931914472, 0.10000272360277998, 0.1000028538219951, 0.1000038327498409, 0.100003864246101, 0.10000471234076656, 0.10000520852741188, 0.10000595048779228, 0.10000555143195446]","[0.4, 0.3999979919176006, 0.39999746092760663, 0.3999910006006769, 0.3999878193482253, 0.3999812580502437, 0.39997783526845077, 0.3999715130052441, 0.39997066810149834, 0.3999627892658727]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.25000166733829404, 0.2500017625051674, 0.2500023469745765, 0.2500051512815729, 0.2500065426004055, 0.25000629564296095, 0.250006292541861, 0.2500056834568337, 0.2500061008793743]","[0.25, 0.2499972192730992, 0.24999608222041472, 0.2499947881877106, 0.24999310760305635, 0.24999228797953565, 0.24999313340224347, 0.24999202956816263, 0.24999027987089062, 0.2499894349466748]","[0.25, 0.24999945353794054, 0.2500005317616047, 0.25000143646601564, 0.250000872141747, 0.24999891943327332, 0.24999863198917174, 0.24999975555719617, 0.24999932179725465, 0.2499994939181364]","[0.25, 0.25000165985066625, 0.2500016235234973, 0.2500014284074384, 0.25000086906428914, 0.2500022501267047, 0.2500019390714425, 0.2500019224625629, 0.2500047150671572, 0.2500049704946429]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999692256536945, 0.3999968836683366, 0.39999574938777294, 0.39999262781476047, 0.3999920492874124, 0.3999843429005773, 0.39998314115884165, 0.39997994621508653, 0.3999791004847905]","[0.4, 0.39999579163282895, 0.39999050950401854, 0.3999871457110256, 0.39998286315339177, 0.3999776654440056, 0.39996883833891805, 0.399965458575946, 0.39996113042149806, 0.39995582410545566]","[0.1, 0.10000090342866914, 0.10000154148859716, 0.1000021019729214, 0.10000297979734335, 0.10000368029239501, 0.10000458951245107, 0.10000513630738311, 0.10000603135703745, 0.10000668822002898]","[0.1, 0.10000091802178127, 0.10000161024440131, 0.10000217431835097, 0.10000314760890365, 0.10000389127565354, 0.10000711574902771, 0.10000771447555735, 0.10000870044959256, 0.10000958185400252]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000285354900176, 0.10000584103445648, 0.1000063585785164, 0.10000663017668762, 0.10000793866434346, 0.10001143662842583, 0.10001199894585522, 0.10001343394219271, 0.10001623273332565]","[0.1, 0.1000006320764808, 0.1000013866774914, 0.10000301451394425, 0.10000448783063393, 0.10000581896439718, 0.1000053917662091, 0.1000070726828818, 0.10000700973599627, 0.10000758240717557]","[0.4, 0.3999913572642625, 0.39998448304375456, 0.39997980064783617, 0.39997519015959443, 0.39997050503675446, 0.39996433535728565, 0.3999598464868813, 0.3999571791015661, 0.39994933685394546]","[0.4, 0.39999470023380734, 0.3999866067242894, 0.39998270812154985, 0.3999803395323025, 0.3999744673346591, 0.3999683558069045, 0.39996387311554304, 0.39996105349637084, 0.39995541294792486]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39999800534414576, 0.39999328495049247, 0.3999898513835217, 0.3999850947219586, 0.3999827507901903, 0.3999824425312848, 0.399980454191753, 0.3999758069016081, 0.39996464508973445]","[0.1, 0.09999999780313991, 0.10000162328242085, 0.10000132302505309, 0.10000292609527593, 0.10000289247823961, 0.10000278708383604, 0.10000424591940363, 0.10000603544415487, 0.10000940755965708]","[0.4, 0.3999976296059476, 0.3999938896166435, 0.3999950606696272, 0.39999139150786184, 0.39998904493178916, 0.39998663357566666, 0.3999813152989982, 0.39997653950137785, 0.3999653621068429]","[0.1, 0.10000109345933678, 0.10000158309253893, 0.10000244899717566, 0.10000295245782198, 0.1000041587709117, 0.10000494411851753, 0.1000053120620988, 0.10000587852790559, 0.1000080918803064]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000077101341995, 0.10000414573663216, 0.1000075933078395, 0.10000788528619844, 0.10000858285436554, 0.10000928998174387, 0.10001234508426156, 0.10001307653502123, 0.10001633621424848]","[0.4, 0.3999974706761813, 0.3999898456390325, 0.3999823867263264, 0.39997772693937556, 0.3999727043392398, 0.39996760949187987, 0.3999609195480409, 0.399955783469602, 0.3999472495404216]","[0.1, 0.10000076857633033, 0.10000092899027435, 0.10000096127567713, 0.10000241157176255, 0.10000312715077234, 0.10000384830341245, 0.1000035714211555, 0.10000427793194745, 0.1000041342453496]","[0.4, 0.3999963709648177, 0.39998985566967754, 0.3999833960820087, 0.39998108721666226, 0.39998045782656677, 0.3999798402646667, 0.39997541918461305, 0.3999748044185507, 0.3999708772482568]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
