agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.6, 0.9244444444444444, 0.9977777777777778, 0.9988888888888889, 1.0, 1.0, 1.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.4, 0.07555555555555556, 0.0022222222222222222, 0.0011111111111111111, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.09222222222222222, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.12222222222222222, 0.13333333333333333, 0.13555555555555557, 0.13555555555555557, 0.13555555555555557, 0.13555555555555557, 0.13555555555555557]","[0.25, 0.7844444444444445, 0.8633333333333333, 0.8644444444444445, 0.8644444444444445, 0.8644444444444445, 0.8644444444444445, 0.8644444444444445]","[0.25, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.19111111111111112, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0033333333333333335, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.8055555555555556, 0.9866666666666667, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.8366666666666667, 0.9922222222222222, 0.9988888888888889, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.16333333333333333, 0.0077777777777777776, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.18888888888888888, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.3277777777777778, 0.35888888888888887, 0.3566666666666667, 0.3566666666666667, 0.3566666666666667, 0.3566666666666667, 0.3566666666666667]","[0.1, 0.48333333333333334, 0.6222222222222222, 0.6433333333333333, 0.6433333333333333, 0.6433333333333333, 0.6433333333333333, 0.6433333333333333]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.5066666666666667, 0.1288888888888889, 0.01, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.011111111111111112, 0.02666666666666667, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.4822222222222222, 0.8444444444444444, 0.9877777777777778, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.2966666666666667, 0.5288888888888889, 0.7911111111111111, 0.97, 0.9866666666666667, 1.0, 1.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.7022222222222222, 0.4711111111111111, 0.2088888888888889, 0.03, 0.013333333333333334, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.006666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.03888888888888889, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]","[0.4, 0.9511111111111111, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]","[0.4, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.04555555555555556, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.9522222222222222, 0.9977777777777778, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.87, 0.9811111111111112, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.13, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.4, 0.1, 0.4, 0.1]"
"[0.4, 0.0077777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.025555555555555557, 0.025555555555555557, 0.025555555555555557, 0.025555555555555557, 0.025555555555555557, 0.025555555555555557, 0.025555555555555557]","[0.4, 0.9666666666666667, 0.9744444444444444, 0.9744444444444444, 0.9744444444444444, 0.9744444444444444, 0.9744444444444444, 0.9744444444444444]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.4, 0.1, 0.4, 0.1]"
"[0.4, 0.5388888888888889, 0.10888888888888888, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0011111111111111111, 0.01, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.46, 0.8811111111111111, 0.9866666666666667, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.35444444444444445, 0.6766666666666666, 0.9011111111111111, 0.9911111111111112, 1.0, 1.0, 1.0]","[0.4, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.6411111111111111, 0.3233333333333333, 0.09888888888888889, 0.008888888888888889, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.1, 0.4, 0.1, 0.4]"
"[0.1, 0.10222222222222223, 0.006666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.42, 0.4688888888888889, 0.4711111111111111, 0.4711111111111111, 0.4711111111111111, 0.4711111111111111, 0.4711111111111111]","[0.1, 0.42, 0.5244444444444445, 0.5288888888888889, 0.5288888888888889, 0.5288888888888889, 0.5288888888888889, 0.5288888888888889]","[0.4, 0.057777777777777775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.1, 0.4, 0.1, 0.4]"
"[0.1, 0.03888888888888889, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.9588888888888889, 0.9977777777777778, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.6777777777777778, 0.9677777777777777, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.32222222222222224, 0.03222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.99,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.03888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.12222222222222222, 0.11444444444444445, 0.11444444444444445, 0.11444444444444445, 0.11444444444444445, 0.11444444444444445, 0.11444444444444445]","[0.25, 0.8377777777777777, 0.8855555555555555, 0.8855555555555555, 0.8855555555555555, 0.8855555555555555, 0.8855555555555555, 0.8855555555555555]","[0.25, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.99,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.19555555555555557, 0.021111111111111112, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.8022222222222222, 0.9788888888888889, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.99,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.8966666666666666, 0.9877777777777778, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.10333333333333333, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.99,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.16333333333333333, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.33111111111111113, 0.3477777777777778, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887]","[0.1, 0.5055555555555555, 0.6333333333333333, 0.6411111111111111, 0.6411111111111111, 0.6411111111111111, 0.6411111111111111, 0.6411111111111111]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.99,8,"[0.4, 0.4, 0.1, 0.1]"
