agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.6166666666666667, 0.9411111111111111, 0.9888888888888889, 0.9988888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.38, 0.058888888888888886, 0.011111111111111112, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.18222222222222223, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0022222222222222222, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.8155555555555556, 0.9855555555555555, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.06222222222222222, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.10777777777777778, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445]","[0.25, 0.8266666666666667, 0.8944444444444445, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555, 0.8955555555555555]","[0.25, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.8188888888888889, 0.9677777777777777, 0.9788888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.1811111111111111, 0.03222222222222222, 0.021111111111111112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.5266666666666666, 0.11666666666666667, 0.013333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.4722222222222222, 0.8822222222222222, 0.9866666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.19444444444444445, 0.006666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.3622222222222222, 0.39555555555555555, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889]","[0.1, 0.44333333333333336, 0.5977777777777777, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112, 0.6011111111111112]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.31444444444444447, 0.7, 0.9244444444444444, 0.9788888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.6844444444444444, 0.3, 0.07555555555555556, 0.021111111111111112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.042222222222222223, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.9566666666666667, 0.9966666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112]","[0.4, 0.9577777777777777, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889, 0.9788888888888889]","[0.4, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.8955555555555555, 0.9866666666666667, 0.9977777777777778, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.10111111111111111, 0.013333333333333334, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.4, 0.1, 0.4, 0.1]"
