agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.5877777777777777, 0.9111111111111111, 0.9811111111111112, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.4111111111111111, 0.08888888888888889, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.21888888888888888, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.7811111111111111, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.043333333333333335, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.1111111111111111, 0.11666666666666667, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555, 0.11555555555555555]","[0.25, 0.8455555555555555, 0.8822222222222222, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445, 0.8844444444444445]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.8577777777777778, 0.9855555555555555, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.1411111111111111, 0.014444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.16777777777777778, 0.008888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.3333333333333333, 0.33666666666666667, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778]","[0.1, 0.49666666666666665, 0.6544444444444445, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223, 0.6622222222222223]","[0.1, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.4822222222222222, 0.12333333333333334, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.5166666666666667, 0.8733333333333333, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.29555555555555557, 0.6144444444444445, 0.8933333333333333, 0.9522222222222222, 0.9822222222222222, 0.9933333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.7044444444444444, 0.38555555555555554, 0.10666666666666667, 0.04777777777777778, 0.017777777777777778, 0.006666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.014444444444444444, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555, 0.015555555555555555]","[0.4, 0.9711111111111111, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445, 0.9844444444444445]","[0.4, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.03666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.9633333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,15,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.8511111111111112, 0.98, 0.9966666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.14777777777777779, 0.02, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,15,"[0.4, 0.1, 0.4, 0.1]"
