agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.24983469400541955, 0.2511036579789271, 0.2510406910205402, 0.25221969480403905, 0.25220267747109976, 0.2516190088679371, 0.250879800220029, 0.2522408371454045, 0.25322144444837974]","[0.25, 0.2502050291718202, 0.24929855432379494, 0.2488093130320999, 0.24817949076323045, 0.247629588781309, 0.24723493066073496, 0.24714966276063535, 0.24640134623428522, 0.24539177995574715]","[0.25, 0.2503115006222297, 0.24993215041489394, 0.24942891512970736, 0.24912187621811863, 0.24967338968141187, 0.2489199843192933, 0.24816325526708743, 0.24788703430666054, 0.24864897102633807]","[0.25, 0.2496487762005306, 0.2496635619670729, 0.250718819900254, 0.2504846104057022, 0.2505019898817537, 0.25223686431898584, 0.2538316936373208, 0.2535057210984684, 0.2527796640637912]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39948476534907584, 0.3963225423210819, 0.3953341900976607, 0.393493876587243, 0.39153495382981474, 0.38878572608379003, 0.38701952559504765, 0.38395860027516326, 0.38208097685402526]","[0.4, 0.3973421864445854, 0.3915479134221341, 0.38846036326094774, 0.3873265716016172, 0.38298485606766797, 0.3782570691118762, 0.3757180113048993, 0.3722329162536366, 0.3695709456324533]","[0.1, 0.1004253589635638, 0.10053303925909333, 0.1012646650462033, 0.10172310838748218, 0.10200334316238124, 0.10428358462903163, 0.10514644249441604, 0.10514716873777223, 0.10598425258085747]","[0.1, 0.1003679030880209, 0.10251839467741002, 0.10283639026254411, 0.1031496899414608, 0.10453528384099034, 0.10422289789136718, 0.10453361075130138, 0.10632927742495729, 0.10676314980529467]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10064418060274548, 0.10092339886770675, 0.10121837204034542, 0.10178417793906117, 0.10269869009323189, 0.10323960809616219, 0.1039342322979307, 0.10420088836113427, 0.10565378546073781]","[0.1, 0.09997123198803358, 0.10077737733909532, 0.10161362202973083, 0.10147880640520734, 0.10129164349523265, 0.1013326606836397, 0.10136680542942535, 0.10227864967484761, 0.10187383236866113]","[0.4, 0.39878484281317234, 0.39638123367397393, 0.3941286021419578, 0.39242265135398613, 0.39127227248795604, 0.3904045250135254, 0.38903124144077894, 0.3867074713565759, 0.38405183501138235]","[0.4, 0.3987535068237115, 0.39683520293919994, 0.3946376520637171, 0.39466338501241577, 0.3930022537322621, 0.39164473678599354, 0.39025532303705107, 0.3880746183012117, 0.3868646223567888]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3974402748574932, 0.3959268184279293, 0.39552816401122015, 0.39362275976441613, 0.39245411271054503, 0.3910437790325497, 0.3900147249378454, 0.3883429650092514, 0.38697486227664024]","[0.1, 0.09994826680105992, 0.10135726272115364, 0.10112528224969525, 0.1010633178297344, 0.1010042936889871, 0.10142549924935734, 0.1014594565356382, 0.10132736311256599, 0.10123463478296058]","[0.4, 0.39609737885300517, 0.3922142356297159, 0.39020041436060804, 0.388864508105444, 0.38731856936587555, 0.3856259118574253, 0.38446344687965506, 0.3838471433683476, 0.3829697077706658]","[0.1, 0.1016673197713155, 0.10161793629881448, 0.10247458796994405, 0.10338187308580257, 0.10416018388084135, 0.10455533082107633, 0.10511064987572169, 0.1058665381411422, 0.10657838035412268]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10057057063117973, 0.1018480961220625, 0.10218285327015107, 0.10387039488664891, 0.10455196652069057, 0.10610868698876985, 0.10841744080161425, 0.10833084003331914, 0.11248414129918348]","[0.4, 0.3978166540958059, 0.3950793817938258, 0.3918237820159764, 0.387520371669904, 0.3852873268433152, 0.3808906784853926, 0.37728215538544696, 0.37472582524933035, 0.3677934536914685]","[0.1, 0.10021323297575538, 0.10045491739207749, 0.10121368134261297, 0.10118871183708779, 0.1015660282117577, 0.10146286313380673, 0.10104167721863919, 0.10221495685143266, 0.101924564922848]","[0.4, 0.39904813147645374, 0.39576247296159284, 0.3947335944757714, 0.3926473508788043, 0.39086936675726097, 0.38990691005017886, 0.3867356626149282, 0.38517424777519604, 0.37862697680404617]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24944372273800156, 0.2487902680982377, 0.24882726119787654, 0.24896700518411316, 0.25036062618247956, 0.25005616160251964, 0.25146438669945664, 0.2523441282491206, 0.25247621255320485]","[0.25, 0.24998038218678773, 0.2498071842800553, 0.24922958878071527, 0.248801697628949, 0.24798412186281285, 0.24731628547471013, 0.24654851222439056, 0.24517155053123907, 0.24476731749685038]","[0.25, 0.24942251797570975, 0.2492555489717583, 0.24979545096557543, 0.24993734741342694, 0.24966788922959768, 0.24933733712890077, 0.24902572381229393, 0.248750063814704, 0.2488793868664558]","[0.25, 0.251153377099501, 0.2521534487224073, 0.2521527969825933, 0.25230085967855814, 0.2519896575464346, 0.2533083527842989, 0.25298476382451657, 0.2537926535994842, 0.2539463137478876]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3991747924595911, 0.396394176154111, 0.3924439522758512, 0.39200843550851744, 0.3887462471989916, 0.38854327764718694, 0.38510969043586935, 0.38476219292255176, 0.3839150761341257]","[0.4, 0.39700553177902814, 0.3931214263393983, 0.3886524228486613, 0.3868952129362949, 0.3826030487366102, 0.380206840329073, 0.3762924439511504, 0.3748580302843611, 0.37296650816223736]","[0.1, 0.10076602643399055, 0.101057013922008, 0.10171388396136129, 0.10198625647683439, 0.1021019723189628, 0.102435680206913, 0.10291307183679288, 0.10317700016437312, 0.10331944092237336]","[0.1, 0.10018889250635465, 0.10157767709365417, 0.1030844190569109, 0.1033888494112751, 0.1052788984220714, 0.10564912689235784, 0.10717809302173265, 0.1074084962992273, 0.10803867107841754]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.100564154307801, 0.10090985087881851, 0.10118940723379463, 0.10289243960542392, 0.10341452371674498, 0.1039212014786254, 0.1044714955554659, 0.10470365779702426, 0.10496448052730416]","[0.1, 0.10000469600637682, 0.10081600635054991, 0.10167728007951056, 0.10115724151547323, 0.10111784962435398, 0.10108637236928394, 0.10104162881391998, 0.10187286099322154, 0.10273417604517492]","[0.4, 0.3988638129570676, 0.39657688347038156, 0.3943314789787951, 0.3911804782120647, 0.39054879943347043, 0.38991779695096074, 0.38925338942652743, 0.38704042567303837, 0.38488576415463643]","[0.4, 0.39886078578622125, 0.396540738190641, 0.3942997207485323, 0.3928310315131243, 0.3916250941979736, 0.39046098496642956, 0.389231538056527, 0.38737734190709644, 0.3852937007669559]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3977367897222218, 0.39497609459380917, 0.3940393563358698, 0.3898737446648802, 0.38794647870988686, 0.386950278713924, 0.3847470008361582, 0.38360462258750316, 0.38274387628269824]","[0.1, 0.10083416936807177, 0.1004078235502377, 0.10038747080956316, 0.10001609167241508, 0.10084410149289925, 0.10086202530780485, 0.10167760132248828, 0.1016803898802596, 0.1016934818695294]","[0.4, 0.3977156815481539, 0.394943047373855, 0.393777545357808, 0.389604039664701, 0.38742268843839195, 0.38637382525940467, 0.38469402476888226, 0.3840475919230488, 0.38300133758833615]","[0.1, 0.10030271281433434, 0.1021222637883176, 0.1026865298432169, 0.10524030868257195, 0.10547851323874623, 0.10601618214895447, 0.10622349721853978, 0.106714475365133, 0.10723090554401501]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.1016436618327454, 0.10202897954235203, 0.10231818668591976, 0.10388099156902912, 0.10408963504615748, 0.10553757229456007, 0.10698863674779485, 0.10707771141418157, 0.10721473351880878]","[0.4, 0.39697758561712376, 0.3952033808781878, 0.39206009743496995, 0.38791781687817445, 0.38569441971362756, 0.38120747615435613, 0.3768159745603117, 0.3748575405809418, 0.37278726601805146]","[0.1, 0.10000501229996342, 0.10024268692045506, 0.10099078898669842, 0.10090732414636992, 0.10158280944341283, 0.10196080967379027, 0.10232573473063442, 0.10302306105462143, 0.10375037544260383]","[0.4, 0.3964277178520411, 0.3957544990592144, 0.3948268965873002, 0.39329414410016417, 0.39212567421172906, 0.38977363660245484, 0.3875096898359214, 0.38656028735980014, 0.38547152295281006]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
