agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.25074338374641164, 0.2506794954992538, 0.2508960982407358, 0.25155450044476896, 0.25178035335029475, 0.25192517015623583, 0.2516795739764677, 0.25305380111843456, 0.25302035395208006]","[0.25, 0.24850031024514613, 0.248001855942187, 0.24754194213908703, 0.24729805748312964, 0.2456760296854065, 0.2461112343066906, 0.24521724596776895, 0.24445842683055002, 0.24500319854997316]","[0.25, 0.25002057362862334, 0.2506208679249796, 0.25071313600994216, 0.2508041851626621, 0.25026479214653774, 0.24984935352536397, 0.25001833509136834, 0.2496441598171322, 0.24943387400006528]","[0.25, 0.2507357323798189, 0.250700545523566, 0.25085654563620724, 0.25035429628090916, 0.2523100200802116, 0.25213677586446476, 0.253127925562979, 0.2529079177092246, 0.25259077933614554]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39936567399728523, 0.39700824338102947, 0.3932318586667121, 0.3919729089326957, 0.38940248149919726, 0.38577993094928154, 0.3838108709575253, 0.3808040320083034, 0.3800547276909176]","[0.4, 0.39830840209174473, 0.39492726537631817, 0.39046160995263185, 0.386237762545197, 0.38170788151987406, 0.37738207816218966, 0.3733900609502803, 0.3697401407196575, 0.3667189626082339]","[0.1, 0.10025785429035529, 0.100111372055613, 0.10058260167848637, 0.10047631025477266, 0.10031603325110298, 0.10099545809730835, 0.10113938113853452, 0.10131631035297994, 0.10203910072743641]","[0.1, 0.10032362668738724, 0.1019140303639187, 0.10355612951233908, 0.10511732901349097, 0.10720717262385132, 0.10869335980145124, 0.11024302726910326, 0.11199147007788426, 0.11232797945772957]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.1002373146129355, 0.1006606399482761, 0.10092264832850656, 0.10162650623180414, 0.10294800523756771, 0.10371610940971986, 0.10398171207423554, 0.10433253814813488, 0.10502467667381447]","[0.1, 0.100885257528696, 0.10139289053858994, 0.10219640057106001, 0.10208810386691139, 0.10245685652462579, 0.10311954736101699, 0.10398438198207482, 0.10458154354589323, 0.10458747551674359]","[0.4, 0.3965179895920391, 0.3935921718618944, 0.39159601919369424, 0.39061239114740465, 0.38655008140935915, 0.38376773847110535, 0.38163071214865696, 0.3784620354340251, 0.37697682816650985]","[0.4, 0.39899172184143494, 0.3982431175829439, 0.3960703115720085, 0.39472260486230165, 0.39226911137062354, 0.38962866850885874, 0.3875328403457639, 0.3872174934245409, 0.3861463088282481]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39884919204779007, 0.39855201707719434, 0.39393192051486314, 0.3921933372214411, 0.3919082681675288, 0.3877744460588285, 0.38672013689172396, 0.3828739541750604, 0.38240480404305544]","[0.1, 0.10069893018626158, 0.10051092198358803, 0.1000478656045287, 0.10035567651761043, 0.10102538280815776, 0.10129738418256938, 0.10211031587801978, 0.10255268034591701, 0.10237658764337758]","[0.4, 0.3975168097809242, 0.3963764765102788, 0.39201441350581445, 0.3896914542177788, 0.3872218871055018, 0.3836415553695117, 0.3808736981958726, 0.377079877623926, 0.3761388620843778]","[0.1, 0.10020956935655988, 0.1007587934993812, 0.10349984362767715, 0.1042515084202691, 0.10429224658010762, 0.10607582426344303, 0.10627825606445267, 0.10793346169659758, 0.10852040031038361]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10175248204608099, 0.10435115469604421, 0.10471176416938593, 0.1050779358277067, 0.10550652578073728, 0.1061213451794182, 0.10634178318442214, 0.1065955063052129, 0.10790799773571585]","[0.4, 0.3961923678120259, 0.3905463577173761, 0.38784445450192045, 0.3854629095090603, 0.38259601665728765, 0.38037083173642766, 0.37731642152124695, 0.375892108250435, 0.3708423243099842]","[0.1, 0.10002402797446817, 0.09961818556446253, 0.10001415404676839, 0.10075360138009011, 0.10128541751796784, 0.10170220892514954, 0.10248195149979744, 0.10293600077783184, 0.10424067733216462]","[0.4, 0.39670159210577755, 0.393833031157952, 0.393631259892941, 0.3917615463380296, 0.39100950806501195, 0.3893960802481792, 0.3887286322447368, 0.38754627545059694, 0.38306882615502486]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24957278966158555, 0.25022914132228996, 0.2503204334752973, 0.25003599543824195, 0.2501460824507481, 0.2499804915877526, 0.2509430175001644, 0.2503883003191673, 0.2501799765054706]","[0.25, 0.24903371527634824, 0.24847790767471875, 0.24780309856115243, 0.24754001185433255, 0.24710101689802427, 0.2474831333815003, 0.24736294603967102, 0.2474032416780755, 0.24647227597008659]","[0.25, 0.25012718544288554, 0.2500694367034254, 0.25056141182021757, 0.2502894861758822, 0.25039410862729383, 0.25019198388924613, 0.25003322967708247, 0.24946177718355492, 0.249084581629059]","[0.25, 0.25126630961918067, 0.2512243063393051, 0.2513206716654207, 0.25214581714291007, 0.2523765658307374, 0.2523570836704387, 0.25166808926991935, 0.25275860126941374, 0.2543021953080572]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3974802377943989, 0.3950274118289875, 0.39414023449042, 0.39333093216492604, 0.39225083766323315, 0.39202826459691087, 0.39077338714536525, 0.39064153800802387, 0.38807634360221677]","[0.4, 0.39525879193439256, 0.3905906501264468, 0.38774819231361457, 0.38477225290927597, 0.3826661612698385, 0.38029862027381084, 0.3780299271712523, 0.3757047341719307, 0.3723192527369252]","[0.1, 0.10035600179579082, 0.10071247734068325, 0.10151100505820101, 0.10232062274193164, 0.10298889709405751, 0.10332529586657431, 0.10394171838508034, 0.1042668646765263, 0.10452539907425107]","[0.1, 0.10145924077201132, 0.1029232135098894, 0.10308731513489584, 0.1032679859319403, 0.10344234835592406, 0.1038031581363909, 0.10413540100391694, 0.10448530253340611, 0.10585386050229131]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.1005605192803992, 0.10098770554667161, 0.10150004026410467, 0.10209259639629525, 0.1037005469530505, 0.10423694887125139, 0.10480914985460707, 0.10631896697410008, 0.10652846744020543]","[0.1, 0.10001069046516438, 0.10042750426073516, 0.10041569276495624, 0.10035883396841414, 0.10078541778075462, 0.10080531449662965, 0.10079628882802126, 0.10124543719363889, 0.10204292842739278]","[0.4, 0.398828925061446, 0.3971524381320273, 0.39646117679466325, 0.3956953860074794, 0.3917428256517414, 0.3906859569143342, 0.38959246919776397, 0.3859138991212269, 0.3842593291678073]","[0.4, 0.3988862359562998, 0.39720603937644333, 0.39592898929191134, 0.3946065115095712, 0.3906558641965467, 0.38961197021229704, 0.38859859016207443, 0.3849382643454358, 0.38279804815289925]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39766035634605, 0.39654830458693957, 0.39268547427357375, 0.39175152339682395, 0.39067204686023455, 0.38971324590726003, 0.3883029196280987, 0.38556170725163946, 0.38375523105235937]","[0.1, 0.10089101423695053, 0.10092357514172046, 0.10134551877152459, 0.10208367271723044, 0.10209601151830547, 0.10208612147749455, 0.10199794129413142, 0.10269131858594514, 0.10331778421166123]","[0.4, 0.3976699287695897, 0.3963891030846731, 0.3925371215350915, 0.38994528390789457, 0.38889349471786117, 0.3878374308545303, 0.38646840419373213, 0.3837391658801235, 0.3819559172658442]","[0.1, 0.10027641448413958, 0.10084744644853333, 0.10238819260655552, 0.10256200825635214, 0.10310886043359105, 0.10365190030981715, 0.10448241764851168, 0.10524759578950824, 0.10558774236116442]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10020063611170027, 0.10039568354378749, 0.10200590185876776, 0.1022244449607955, 0.10252640294860096, 0.10298369929873093, 0.10351078054264805, 0.10507397819080702, 0.10537299028104782]","[0.4, 0.3969349961954499, 0.39375417753253616, 0.38963377804907273, 0.38783532619706834, 0.3853048492966757, 0.3833294196550538, 0.38126999302092635, 0.3773225108002586, 0.37489549004056005]","[0.1, 0.10078374394472131, 0.10163465572662167, 0.10156123548147784, 0.10196131764804006, 0.1028492777031895, 0.10330295139275542, 0.10373822715066537, 0.10368820369615914, 0.10458609311744638]","[0.4, 0.39912748357886385, 0.3981791304378068, 0.39624719270339503, 0.3956662841190181, 0.39363333127790767, 0.39215940822655687, 0.3906067642748652, 0.3889404090061266, 0.3869673047321852]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
