agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.25042020427289047, 0.2516148174783732, 0.2515400464898212, 0.25120510914819627, 0.25168135113589163, 0.25113540514652744, 0.25255175608468616, 0.2539807479632248, 0.25352385648286174]","[0.25, 0.24986678216822952, 0.24960901499238336, 0.24897354585962336, 0.2490831416327376, 0.24891300821814427, 0.24880635151967978, 0.24832867969852848, 0.2475170168697549, 0.2469427829780915]","[0.25, 0.2498561730147307, 0.24942495945005883, 0.24996247060112323, 0.25032610685529283, 0.24999626855780047, 0.24990035065175847, 0.24971546194004, 0.2493991034827306, 0.2489341089170391]","[0.25, 0.24985684054414933, 0.24935388646509637, 0.2495254472082941, 0.24938486281337124, 0.24941100928563406, 0.25015459390244305, 0.24940911159664386, 0.24912906604537527, 0.25061969463097206]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3953313995065387, 0.39341753169993665, 0.39113588247002123, 0.39041787742115747, 0.3868061225838013, 0.3857993899101711, 0.3840147250464729, 0.3818773138790752, 0.38062203075680734]","[0.4, 0.3959146651732396, 0.3931224379017571, 0.39083281215200505, 0.3892142371082748, 0.3851030813183861, 0.38213733812504086, 0.3781607434192841, 0.3756396608012106, 0.37371141143621206]","[0.1, 0.10082252904918276, 0.10169584676515067, 0.1025328895416571, 0.10273423926531909, 0.10317910527821783, 0.10395654460172907, 0.10385296036784541, 0.10479005740523795, 0.10528885652384914]","[0.1, 0.1013659547808727, 0.10169355350619724, 0.10203859176211279, 0.1024481015676107, 0.10403435098291972, 0.10432242158939256, 0.10599455345605599, 0.1063347272088361, 0.10672395423255693]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10263865334302069, 0.10338740250445295, 0.1038949075077687, 0.10483566615472256, 0.10630159847590318, 0.10653044056834549, 0.10673392062615829, 0.10740659574356246, 0.10783189976216379]","[0.1, 0.09936237501028364, 0.09938385107796004, 0.09934979569891712, 0.09995594277349927, 0.09962668918124591, 0.10072028384631758, 0.10190333326550619, 0.1018469372937545, 0.10219121659022114]","[0.4, 0.3960692352317462, 0.3945452610660818, 0.3931493973822612, 0.3898891697829354, 0.38697060061840294, 0.38435150411279395, 0.38197963217877406, 0.38076649093426673, 0.3793408892686169]","[0.4, 0.39592665135503663, 0.3944762161336578, 0.3940706156769288, 0.39136592984219004, 0.39011218130070485, 0.3876304897659273, 0.3847291319855039, 0.38373922484338696, 0.3823592657747957]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3974179415858931, 0.39422307669479206, 0.3918551202515371, 0.3908738066192383, 0.3873959334698538, 0.38488956213058845, 0.3816552015489517, 0.37917669369093654, 0.37878636365309765]","[0.1, 0.10081610581523914, 0.1022548941993432, 0.10322134271535904, 0.10390204456920166, 0.10597338825594085, 0.1061812522605836, 0.1067961449160521, 0.10631219383058524, 0.10641628654736364]","[0.4, 0.3979356923694822, 0.3946378747667893, 0.3922144174439473, 0.3894788360783317, 0.38571653834660097, 0.3820243459910825, 0.3787750010110226, 0.3767634996136243, 0.3752598322633041]","[0.1, 0.10034548569591706, 0.10055169109512588, 0.10082280247544588, 0.1011136158807495, 0.10097427835460628, 0.1023960581541115, 0.10353449463339653, 0.10522585351336831, 0.1056511030519325]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10192706380156237, 0.10239358472236817, 0.10418678033960907, 0.10571782711251447, 0.1064208021586157, 0.1081009163823656, 0.10850595743343562, 0.11052624643448143, 0.11065257882800748]","[0.4, 0.39591086759215655, 0.39373364261969074, 0.389869175169553, 0.3866799245218937, 0.3844803585470462, 0.38030067478128776, 0.378243173877085, 0.3741147200241455, 0.3708771890273005]","[0.1, 0.09996745617924332, 0.10047048154421362, 0.10054761827809217, 0.10041129087363497, 0.10058547333106829, 0.10063166051741056, 0.1011538436071793, 0.10128139651718335, 0.10229895287595467]","[0.4, 0.3965110524846208, 0.3948815435548751, 0.39153863433701064, 0.3895186659658449, 0.38846856512988437, 0.3863802941480242, 0.38501801868573715, 0.38156620961002496, 0.38059856285553145]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2494403915494503, 0.2503440551680991, 0.25158640000981064, 0.25135147456157464, 0.2526743718891948, 0.25366716755753, 0.25362863183046996, 0.25501232160870946, 0.25497243973803946]","[0.25, 0.24999329968355574, 0.2500508398651426, 0.24904706110219366, 0.24817347428682848, 0.24809270366305447, 0.24802573975382797, 0.24745847127591344, 0.2466441812469696, 0.24610483812682565]","[0.25, 0.24945004859492423, 0.24926166875959044, 0.24938835489787003, 0.24911638144837986, 0.24855306637691812, 0.24827636115968316, 0.24882167557140353, 0.2485561908301947, 0.24910690188491244]","[0.25, 0.2511162601720697, 0.2503383647533185, 0.24997374776006334, 0.25135661657899433, 0.2506838796076141, 0.2500456455646329, 0.2501063189366344, 0.2498317038821242, 0.24986355177058658]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.40085795505352806, 0.3978506176516084, 0.3971146988677139, 0.396882370517221, 0.3950888969018197, 0.39040541204747403, 0.3889514270097892, 0.38816382876553185, 0.3844641739449608]","[0.4, 0.39579222686232074, 0.3922417163165848, 0.38915572977631796, 0.3867034679261597, 0.3844036853537983, 0.3793213747708244, 0.3774104849408622, 0.37451916152536663, 0.37147298506286336]","[0.1, 0.10077795967700735, 0.10086251072936375, 0.10166205097241056, 0.10200387360316016, 0.10265561242153724, 0.10282455926529116, 0.10326983158912055, 0.10409584050615739, 0.10446900387008672]","[0.1, 0.10005949484403047, 0.10162381606937311, 0.10180575001862785, 0.10216453290645268, 0.10258102691748851, 0.10498447752569078, 0.10544972053932064, 0.10562764885040783, 0.10711487865451097]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10056925533558467, 0.10112778382287713, 0.10169766708945055, 0.10350573125158061, 0.10407229468118458, 0.10503938306743625, 0.10525984068150815, 0.10546683769166616, 0.10596905935061104]","[0.1, 0.10000072897074341, 0.09999582810327695, 0.09999601135660939, 0.099637234192248, 0.09971582737939638, 0.09960364531274322, 0.10045112431484275, 0.1014175303809554, 0.10141548529491538]","[0.4, 0.3991057452689036, 0.39802906106190555, 0.3968054810111945, 0.39398723333426433, 0.3927527894608359, 0.39116013967744034, 0.3892641151344401, 0.3869831310756234, 0.38632973365354795]","[0.4, 0.39861431750578424, 0.3974954388849904, 0.396476652414843, 0.39366620341775466, 0.39243429383328127, 0.39082046478791255, 0.38856928395016443, 0.38634376915909263, 0.38516415049812913]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3977041411496731, 0.3978591959484191, 0.3967374257332147, 0.3959959420908053, 0.39479578980582264, 0.39348557165557274, 0.39136567913697956, 0.3902859768038676, 0.3902914729468269]","[0.1, 0.10082992901447509, 0.10072817931284594, 0.10072291142145874, 0.10068942040343232, 0.10067163005304826, 0.1006397648587287, 0.10148236369655407, 0.10147460188145582, 0.10212067145547858]","[0.4, 0.3977029038943025, 0.39615181685598, 0.3950279628849686, 0.3938254260733403, 0.3926396882408825, 0.3920796419067485, 0.38990419735460435, 0.38884452946971937, 0.3860036870909042]","[0.1, 0.10031830972453103, 0.1007716845037235, 0.10134696396810527, 0.10187859376181106, 0.10251209777699716, 0.10303097421891728, 0.10329509656065476, 0.1038687000185118, 0.10396477478921894]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10042870099628762, 0.10311905904585468, 0.10349004572700678, 0.10394123224297602, 0.10405743868601912, 0.10549413101738615, 0.10578037325927671, 0.10791283805252527, 0.10931121904296917]","[0.4, 0.3973897462704105, 0.3931044457758573, 0.3919509635846815, 0.3898316983545867, 0.3876453962817834, 0.38307180317753053, 0.3800327858429142, 0.37609943253784267, 0.37292066547420827]","[0.1, 0.10032073434311042, 0.09993419975977003, 0.10029954191618061, 0.10073657604662875, 0.1014351535440107, 0.10186815878852258, 0.1026233113369643, 0.10253606746169332, 0.10291457321191988]","[0.4, 0.39961251237199746, 0.39475637007880704, 0.39305134167557754, 0.3917503285743779, 0.3907927442238336, 0.38833969175743643, 0.3874880232419651, 0.3840164452676769, 0.3808683023474407]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
