agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.25039857801455856, 0.25056675956564844, 0.2504872015098902, 0.25054923623881314, 0.2519824020648588, 0.25190445754948204, 0.2520031197299161, 0.2532544265191614, 0.2530601688719691]","[0.25, 0.2487628001973862, 0.2481882490607251, 0.2479619774963831, 0.24760888812017173, 0.24673925571422364, 0.2462353513491831, 0.24565875844074803, 0.24562956603507693, 0.24485430826205234]","[0.25, 0.24927468355264773, 0.24984896190387987, 0.2503400053112174, 0.2505689040380648, 0.2502845400386347, 0.25079154787402586, 0.2513059593906645, 0.2506565447504464, 0.25184420995715506]","[0.25, 0.2515639382354075, 0.2513964423754064, 0.25121137555333717, 0.25127718242066355, 0.25100753637777434, 0.25108932819550983, 0.2510639221059774, 0.2504959027433819, 0.25029175736695236]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.398445664457418, 0.39672482538122894, 0.3972095248840282, 0.3972906014880703, 0.39545446969990133, 0.3911945757693925, 0.3881623200195672, 0.38615646038367474, 0.3845075338235991]","[0.4, 0.3978386864332405, 0.3966004424531214, 0.39442028827957937, 0.3913904750306065, 0.3872599850147653, 0.38237188434203967, 0.3783319678324163, 0.3754631305307312, 0.37134228239624245]","[0.1, 0.10046650791603146, 0.100832435448814, 0.10104858764859595, 0.10126620791961863, 0.10116421923490174, 0.1012313284049822, 0.10157995458327748, 0.10236937587478596, 0.10244118007043476]","[0.1, 0.10046240436130395, 0.10084305878794136, 0.10105802342408585, 0.10159605144433521, 0.10324009321632976, 0.10558684898900178, 0.10715722402462198, 0.10769076078886693, 0.1092570206657293]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10105547116698162, 0.10259528100456265, 0.10277976422977762, 0.10451717528576517, 0.10474966001670709, 0.10514365172614117, 0.10552845569907127, 0.10620619252169833, 0.10766577224228371]","[0.1, 0.10093605874596387, 0.10134943999562575, 0.10205295591023322, 0.10279655018432368, 0.10308687734877539, 0.10383731264671403, 0.10433098840657783, 0.10430052114937037, 0.10471571440433622]","[0.4, 0.39601124162691914, 0.3921842430362378, 0.38980564127107675, 0.38511904458022345, 0.38273788596057146, 0.38036469275016394, 0.37870443017427735, 0.377678986302191, 0.3745745143641883]","[0.4, 0.396022638721299, 0.39219354087022285, 0.3911445636673901, 0.3863852480205314, 0.3868235086261521, 0.38495115186372786, 0.38339241178447986, 0.3820802435440965, 0.37844904546199687]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39725920280498683, 0.3932180151747146, 0.39192543141848235, 0.3882117756679593, 0.3866486768184997, 0.38530879092140236, 0.3854314782910106, 0.3830982062368394, 0.38115370259879383]","[0.1, 0.10073065848550325, 0.10036151464525196, 0.10055122560680817, 0.10096717959845937, 0.10066379795765877, 0.10067324966250593, 0.10053751442400485, 0.10138064827242277, 0.1013272835567045]","[0.4, 0.3978750237013489, 0.3938408782791917, 0.3924975890989602, 0.38860646674708665, 0.3853318816091606, 0.38492414687611454, 0.38327251027300707, 0.3814776862332622, 0.37949481676515284]","[0.1, 0.10048578488791284, 0.10289508853860259, 0.1033897729870594, 0.10496671777958393, 0.10658925593251105, 0.10706140675966376, 0.10763104545339448, 0.10788401005302126, 0.10904915478305308]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10032066730507003, 0.10085993397502152, 0.10257799954161508, 0.10419843120282914, 0.1057892708868121, 0.10726845353231183, 0.10866224687109632, 0.10974749921815222, 0.1112633682534084]","[0.4, 0.39741569624296186, 0.3946166777268777, 0.39014278184305157, 0.38621878507189883, 0.38287916738059935, 0.3786307879703967, 0.37409575172550064, 0.36907306972046255, 0.36472255242790247]","[0.1, 0.10085666388036345, 0.10116433872667321, 0.10159295416562529, 0.10182596839324451, 0.10165804054815168, 0.10197841887274987, 0.1029128809279355, 0.10406342409111798, 0.10427122381739186]","[0.4, 0.39787497901530433, 0.3973247200433833, 0.39337782516684017, 0.39021788934255186, 0.38827800620700154, 0.3859335817221506, 0.38200501910436, 0.3790479276604713, 0.37752358481448617]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2504090144064932, 0.25136841838502383, 0.25147927003961584, 0.25113076223485514, 0.2520900246999767, 0.2521607306939966, 0.2530560465120513, 0.252613140404795, 0.2532643637308555]","[0.25, 0.24931283693123796, 0.24916726715607423, 0.24882717525579812, 0.2487505959738185, 0.24750613208325217, 0.24726954661492548, 0.24727659149801626, 0.24744143291460785, 0.2471027529982931]","[0.25, 0.25041848755607243, 0.25030467180324006, 0.25040790410981006, 0.24978454334802513, 0.24908659242649023, 0.24915957431198774, 0.2489755172211127, 0.24913122388559591, 0.24816249822084413]","[0.25, 0.2498596611061964, 0.24916181271314958, 0.24928925765005802, 0.2503320279844979, 0.25132767278258095, 0.2514237804866519, 0.2507096477125753, 0.2508245259256492, 0.2514965339285795]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3983796101867882, 0.3976011011821785, 0.3977025070195645, 0.3937232728576465, 0.3931416765501262, 0.3907422703855574, 0.39002411817185395, 0.38778421215194947, 0.3860265744461333]","[0.4, 0.39784182167200405, 0.39467375678330163, 0.3918822293878488, 0.3874413006920531, 0.3857461683886516, 0.38392693458739374, 0.381022160656267, 0.3766549051868247, 0.3741950973422711]","[0.1, 0.10049038443638267, 0.10122210463009797, 0.10148503939235035, 0.10185617644724854, 0.1020922435347889, 0.10287185888102042, 0.10363207610299377, 0.10396645661868256, 0.10482554826798018]","[0.1, 0.10045425759891931, 0.1007190370508142, 0.10114410698323296, 0.10293241543181697, 0.10329625237154676, 0.10362503602706771, 0.10383372954239709, 0.1052851514266094, 0.10557995199038399]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10039031368785892, 0.10096829073468563, 0.10125118249223726, 0.10182287938612179, 0.10224042703625749, 0.10280414838934664, 0.10334764398395702, 0.10366144147255431, 0.1057746240583342]","[0.1, 0.10079802814668218, 0.10079959114324959, 0.10163197245783127, 0.10162079282351218, 0.10147188747654944, 0.10146696936454497, 0.1012328604743542, 0.1020009648648458, 0.10134321430044858]","[0.4, 0.39761083691152826, 0.39645924620382905, 0.39425948560733554, 0.3931408875423773, 0.39205262742115593, 0.39098096312865604, 0.39012589773971496, 0.3883438194086009, 0.38480655470313224]","[0.4, 0.3976357957503075, 0.3964919847705512, 0.39430689506635597, 0.3932426177129187, 0.3932947994652643, 0.39222041826754533, 0.3919095867463921, 0.38953623206850463, 0.3876554104020978]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3990171773110653, 0.3978991618711838, 0.3967826610637657, 0.3955314538755566, 0.39433202492524744, 0.3920250633629203, 0.3909927377950911, 0.39026369168743363, 0.38794213577031417]","[0.1, 0.10072485445823191, 0.100730369508065, 0.10072662648070885, 0.10070240220651232, 0.10067102102071716, 0.10149109950656714, 0.10150576713597309, 0.10143167766070076, 0.10230526285678763]","[0.4, 0.3973421343567628, 0.39622696226015874, 0.39512945570456603, 0.3943234321924036, 0.3936512702933932, 0.3913345587298706, 0.3902170893539064, 0.38889830167799694, 0.38712903603194687]","[0.1, 0.10018531762481109, 0.10074172168085946, 0.10130718918481406, 0.10185766958182967, 0.10237191507337608, 0.10273936547100986, 0.10328843838957169, 0.10390549719669065, 0.10410141802135961]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10160129207304217, 0.1017516421973428, 0.10347023104170021, 0.10372747538113151, 0.10514153573137805, 0.10660787393352375, 0.10824291371898329, 0.10858234752104205, 0.1105238182804618]","[0.4, 0.3958040126662705, 0.393506086435259, 0.38983780818310965, 0.3882664131229631, 0.3845164137777168, 0.38005166267577567, 0.375451883347778, 0.37314127701552763, 0.3694679458982041]","[0.1, 0.09992646935811006, 0.1006180935625549, 0.10065754962902138, 0.10094467161512735, 0.10123135965751007, 0.10159067585003147, 0.10191566576611769, 0.10226947387413207, 0.10222144773152296]","[0.4, 0.39808494160912067, 0.39705174430288664, 0.3938911586326714, 0.3933760527188718, 0.39069551228417154, 0.3883964874863528, 0.3858979609683005, 0.38572306092244774, 0.38280459485687457]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
