agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.2499598495441081, 0.2498250160262135, 0.24947736448736862, 0.24976833031355863, 0.2508441992596921, 0.25195634537952755, 0.25204543901610615, 0.255038508609895, 0.2544794248207895]","[0.25, 0.24974420842640066, 0.24897520116839225, 0.24838268621191165, 0.24772911280975304, 0.2468625830247983, 0.24580959433712785, 0.24542014873761536, 0.24391727539079724, 0.2439277243789565]","[0.25, 0.24994728399193575, 0.24985112591591657, 0.24946874983143755, 0.24992757008766447, 0.24980314554891836, 0.2503448331619443, 0.2505484854291099, 0.24952688833133435, 0.24892938155927166]","[0.25, 0.2503486580375555, 0.2513508822436916, 0.25268349712111426, 0.25258894938840265, 0.2525102091741355, 0.2519201973976224, 0.2520253096008366, 0.25160341901842226, 0.25274667345830165]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.399423005237747, 0.3963197089023901, 0.39442744470609364, 0.39225368516067927, 0.3904443205849932, 0.3877878113951369, 0.3859154493664996, 0.38424517656345186, 0.38067084063712425]","[0.4, 0.396951435256732, 0.3931262567941449, 0.390743319715959, 0.38812741484581204, 0.3869498651948251, 0.38204555161374787, 0.37799885873438555, 0.37657739746615315, 0.37336392258261414]","[0.1, 0.1005680605330149, 0.10156193961259909, 0.10190886221868611, 0.10278553223096953, 0.10319721825828318, 0.10307566238711299, 0.10307670581249848, 0.10346876359621678, 0.10389124906123763]","[0.1, 0.10033832934336538, 0.10109319324369317, 0.10184332735981844, 0.1022103071039916, 0.10258249312873668, 0.10470143670740979, 0.10631492424272702, 0.10677048548657356, 0.10823883391817837]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10258798513890456, 0.10317799708992975, 0.10374332009315511, 0.10427473636816124, 0.10662137705409706, 0.10710769506353532, 0.10967625028218697, 0.1110665202487645, 0.11182558151923393]","[0.1, 0.09942086312540488, 0.09938446725241575, 0.09939725991382779, 0.09929881864669662, 0.09951658767302507, 0.09947690190435055, 0.0996119764641463, 0.10015807168879161, 0.10012418434803083]","[0.4, 0.3961733980560629, 0.39540418286781387, 0.39414276619043387, 0.39255102259135494, 0.38766054090589985, 0.38783614223738333, 0.3832336155153501, 0.3792744078429568, 0.3777615753611623]","[0.4, 0.3957912088866994, 0.3944282677948829, 0.3934746871294784, 0.3934378825852432, 0.388622492415089, 0.38682885987991633, 0.38161761495493407, 0.37863058120508175, 0.3776812781884025]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39871543584335345, 0.39628337745807984, 0.39509834335395, 0.39321418559488996, 0.3915647861533556, 0.39085880299584447, 0.3888547325954482, 0.3860716939370781, 0.38119411261520814]","[0.1, 0.10015760306430138, 0.10095985075870263, 0.10097808508764405, 0.10099307919988643, 0.10085667233917929, 0.10150177143625633, 0.10195617387491383, 0.10163152673202432, 0.10174854174242638]","[0.4, 0.39849380532643724, 0.39651912521103283, 0.3953580417188551, 0.39355367607205266, 0.39243608183260364, 0.38943404291506745, 0.38800866578205556, 0.3852503004411788, 0.3811042729450485]","[0.1, 0.10054008664325098, 0.10084625545472156, 0.10142490634126045, 0.10235641509675049, 0.10321468029598319, 0.1035301596001181, 0.10397644527518828, 0.10579085787278454, 0.10814411363413662]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10076043052754956, 0.10121191839984228, 0.10136152772504953, 0.10244043491440996, 0.10425353712870113, 0.10494749534846048, 0.10652642345034109, 0.10702534422574177, 0.10723926708563251]","[0.4, 0.39679580031965395, 0.3945854047167091, 0.3912794916954849, 0.3882184124828164, 0.3837771784527678, 0.37996038987116315, 0.3758570386836361, 0.3733708699303615, 0.3707253917614575]","[0.1, 0.10072356394426397, 0.10131482262839012, 0.10220277871246868, 0.10220148637497169, 0.10258447762661414, 0.103301909424545, 0.10390164860774724, 0.1041910831112564, 0.10527250398539217]","[0.4, 0.39726822179309207, 0.39536915823238583, 0.3946320673356793, 0.3935238421924885, 0.3895860610155081, 0.3881427639058338, 0.3842414600844487, 0.3839131132368873, 0.3818812057449176]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2491391403917937, 0.2492556791597408, 0.24919467525581035, 0.24910749844184288, 0.24993267079298362, 0.25017186130258473, 0.2518347849025238, 0.2523414625272872, 0.25203868535529506]","[0.25, 0.2498262097561078, 0.2493777351015801, 0.24873860207073833, 0.24808807740044078, 0.24744348720870926, 0.2469822598797755, 0.24534664397207329, 0.24710224426959118, 0.24628629833320903]","[0.25, 0.2502433307530585, 0.2504525591731964, 0.25123955601287834, 0.25200998916494677, 0.25193515823510926, 0.2520250503318381, 0.2514481536234483, 0.25029026934735443, 0.2500234967819986]","[0.25, 0.25079131909904, 0.2509145280724956, 0.25083056118111513, 0.2508051270851743, 0.25070045419107334, 0.25083837557013905, 0.2514063545804311, 0.25025926962126105, 0.2516526585719605]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3971414517219776, 0.3965596831259775, 0.39629303649582415, 0.3941245956050289, 0.39341730035151423, 0.39149427872528814, 0.38850800546619796, 0.38650143952642085, 0.38457133139261596]","[0.4, 0.39599812934570006, 0.39431260613501373, 0.39182460710068495, 0.38855328309317805, 0.38733592915718856, 0.38329889478421614, 0.37982292073233415, 0.37732516675742694, 0.3743940318820015]","[0.1, 0.10033953001017988, 0.10061445805453698, 0.1009656077011014, 0.10084859674164243, 0.10110560822033456, 0.1010378868935876, 0.10109466681119618, 0.10203311316478526, 0.10191307218350738]","[0.1, 0.10137557472290072, 0.10167780618921096, 0.10203287122103252, 0.10356129104358802, 0.10380767911449895, 0.10546656409109467, 0.10716821345381174, 0.10743163864597492, 0.10892907203995125]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10032760710282054, 0.10087857934594102, 0.10105467050881442, 0.10280685448086639, 0.10329046547893807, 0.10382971769922295, 0.10452842493640065, 0.10495390087830418, 0.10559971999044974]","[0.1, 0.10082307371970686, 0.10083663611216252, 0.10157162856595672, 0.10114237350417864, 0.10107925338130627, 0.10111282538844955, 0.10109874094658328, 0.10131506772329239, 0.1020024713390127]","[0.4, 0.39770347351448937, 0.39660143150858623, 0.39397769405017674, 0.39161234757608526, 0.3912729390662024, 0.3901460808821522, 0.38885602997684504, 0.3879325459641847, 0.3852332326657282]","[0.4, 0.39769380319540104, 0.396558294486611, 0.3955990335297408, 0.392786687625232, 0.3915245436600167, 0.39047804110354273, 0.3891959148973813, 0.38770322539978547, 0.38538477238419133]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39757661379439807, 0.3973277315660998, 0.3950286960792958, 0.3929224000488553, 0.39068068891340063, 0.3893671959590281, 0.387170165726724, 0.3860432188000715, 0.38625513720661137]","[0.1, 0.10083967030907888, 0.1007099755982795, 0.10152053065079723, 0.10234347403031858, 0.10326075120836936, 0.1033781836651584, 0.10418223926598658, 0.10420310237258759, 0.10407246961349924]","[0.4, 0.39812350149146114, 0.39703730921569824, 0.3952107514803971, 0.39298119076596744, 0.3907099609231952, 0.3893842569197441, 0.3871967256149695, 0.3861199901059211, 0.38466275938227595]","[0.1, 0.10023530086945635, 0.10070043532443629, 0.10093590362385806, 0.1012253149482982, 0.10148060327356458, 0.10205070962996875, 0.10240611993345607, 0.1029684647602732, 0.10342963188711701]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10025247935717892, 0.10059434707535557, 0.10217077966757035, 0.10254995069007758, 0.10272667937056289, 0.10288808574928528, 0.1030201235981784, 0.1034579987004077, 0.10519918124160879]","[0.4, 0.3966415965856235, 0.39413533956279645, 0.3899327962970157, 0.38870360617850314, 0.38553964051620676, 0.3830517738240477, 0.3810159625517912, 0.3789490763646043, 0.37533326767738595]","[0.1, 0.1008709256892873, 0.10122140285225945, 0.10165417205458366, 0.1020551415577106, 0.10294753234819758, 0.10368016195170286, 0.10435468343998272, 0.10486917378423907, 0.10495796841584606]","[0.4, 0.39886478322851177, 0.3986390719037316, 0.39493812064389106, 0.3931596022399024, 0.3922444231042486, 0.39136783175273093, 0.3903994347966865, 0.3889331250553862, 0.38576919561660067]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2499971099563447, 0.24984070384812807, 0.2500707884760655, 0.2499992292877746, 0.25013676487711634, 0.24994466298817955, 0.250597752684826, 0.25104908598556436, 0.251020944393989]","[0.25, 0.24884469593386122, 0.2476380316583825, 0.2467490497010082, 0.24560305788241665, 0.24453932536440118, 0.2453841532735498, 0.24438034244610818, 0.24350528695111306, 0.24354820202686606]","[0.25, 0.25116791513745296, 0.2526967865680838, 0.25307335856750823, 0.2544604726305426, 0.2554897758124659, 0.25511831151396835, 0.25518545281788485, 0.2553866697775736, 0.2553287317317848]","[0.25, 0.24999027897234113, 0.2498371969882783, 0.25013168160595, 0.24999396969264373, 0.2499279510209066, 0.24961982594826027, 0.24992302880423625, 0.2501707454832405, 0.25021145356857205]",replicator,Stag Hunt,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.396799685403949, 0.39412976182181525, 0.3916494593947781, 0.3893413979372935, 0.38813329766318533, 0.3860655875486253, 0.38298048285176156, 0.38150528065687533, 0.37973281424115696]","[0.4, 0.3955784691675104, 0.39189738211421066, 0.38817666970716186, 0.38715605486649457, 0.3846767916037858, 0.3835846064223074, 0.38167627937684906, 0.37791142015073376, 0.37722858647394564]","[0.1, 0.10162139512897478, 0.10303179069717056, 0.10435633106546852, 0.10460640917204438, 0.10510313459021572, 0.10531170251749636, 0.10662978656128246, 0.10786105201466559, 0.10813313805913799]","[0.1, 0.1002840662281604, 0.10050020845668785, 0.10079483110017406, 0.1014123051416172, 0.10189484494228336, 0.10252477269948031, 0.10257091893880908, 0.10279337522394415, 0.1031973822190947]",replicator,Stag Hunt,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10014392800061045, 0.10092578535667542, 0.1016905039550234, 0.10172269130982357, 0.10183568809365398, 0.10255360211065233, 0.1032224609270225, 0.10496202180017611, 0.10558718219902825]","[0.1, 0.10122868680298376, 0.1007684534548868, 0.10036612161531568, 0.10149962260220707, 0.10283615654049334, 0.10242866621423465, 0.1021911780906544, 0.10131276487185682, 0.1008133080375734]","[0.4, 0.39727074365423437, 0.3966423320418961, 0.3959455250318082, 0.39279694994915243, 0.3899830239230528, 0.3894375115835796, 0.38915785072198894, 0.3881637105599418, 0.38852997298568726]","[0.4, 0.3972387971313889, 0.3965718161068767, 0.3958470264155158, 0.3943989613997967, 0.3915928584492966, 0.3909316935907863, 0.3895691576855151, 0.3873477699686252, 0.38658477657009255]",replicator,Stag Hunt,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39769708662566977, 0.3948663316799413, 0.3942378029349429, 0.39109024312103596, 0.38608085183696905, 0.3826739500505494, 0.38149867071420324, 0.38109603839772405, 0.3800415792875451]","[0.1, 0.09948063308638924, 0.10076188919093661, 0.10031255693104424, 0.1014515484678631, 0.1043091961715723, 0.10636207632261106, 0.106470613194231, 0.10597864777850832, 0.10525611547952865]","[0.4, 0.39783450883427696, 0.39499332408175963, 0.3943412075857208, 0.39235807504779957, 0.3872966672686337, 0.3834901130719606, 0.3822837908454879, 0.3818618990653188, 0.38366645597985577]","[0.1, 0.1016364680486241, 0.10177673033578888, 0.10256062017998542, 0.10273071302715575, 0.10247811326322236, 0.10237277851298596, 0.10290475076617285, 0.1036024114101201, 0.10410581015276828]",replicator,Stag Hunt,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10016959120093472, 0.10035487514254775, 0.10072209981399471, 0.10077417053963893, 0.10072100704140809, 0.1012373497155635, 0.10172666876298322, 0.10234556323147545, 0.10305221584235276]","[0.4, 0.39609519460181475, 0.3940638263873345, 0.39334097058946116, 0.3911275388238617, 0.3869718273539693, 0.3845389829493471, 0.3822969668379799, 0.37981512623494806, 0.37757760733229323]","[0.1, 0.10147888948364928, 0.10264273949365327, 0.10296957768626766, 0.1043487736276021, 0.10645288886315318, 0.10692132995964944, 0.10737166294581685, 0.10779307184661047, 0.1081499842253928]","[0.4, 0.3973108826598494, 0.39405686460210115, 0.3920829826672528, 0.38883499760346685, 0.38533091328374597, 0.38408242502687, 0.3828476765759211, 0.3815012984800115, 0.3798514619584205]",replicator,Stag Hunt,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24944752139448875, 0.24971168583478764, 0.24971462872592412, 0.24963556852039748, 0.24991248795386753, 0.2496078997430193, 0.24955315407342088, 0.2493038567953881, 0.24925956569752333]","[0.25, 0.25054579939746946, 0.24974843952304743, 0.24862876597610764, 0.2494050360026119, 0.24855580025930235, 0.249365231814036, 0.24819528273455774, 0.24902426177489603, 0.24785151811595832]","[0.25, 0.25055431721191523, 0.2508055464432653, 0.25191509176483967, 0.2515515122947267, 0.25182348788862174, 0.2514993585844581, 0.252711166555025, 0.2524015981335767, 0.25365966025525977]","[0.25, 0.24945236199612655, 0.2497319481410222, 0.2497438088222622, 0.24940357258722182, 0.24970648800822476, 0.2495190507890855, 0.2495421815393598, 0.24926367658626641, 0.24923941012403064]",replicator,Stag Hunt,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39661350250373567, 0.39519416023231807, 0.39167159188750567, 0.3903282055416733, 0.3879733757442159, 0.38665748936764316, 0.38423936652721724, 0.3814340282256777, 0.3802404172173416]","[0.4, 0.3954997136964086, 0.39303974578544726, 0.39062277790285205, 0.38815889965233435, 0.38470508775848555, 0.38227778277459756, 0.37877902088567994, 0.37713113896442385, 0.3748416088887497]","[0.1, 0.10141568413109758, 0.101890185038835, 0.10292873684620968, 0.10341095645559717, 0.10471761594788918, 0.10521857796130153, 0.10665426207794808, 0.10781526669391897, 0.10827323093133895]","[0.1, 0.10055601181886639, 0.10107083638405229, 0.10156305969252065, 0.10207620283174183, 0.1023104964008615, 0.10281358589164154, 0.1029946965149944, 0.10307357430361133, 0.10358404716673769]",replicator,Stag Hunt,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10007008471943024, 0.10018905908456485, 0.10083414865719947, 0.10153668211556345, 0.10166204385029275, 0.10184387490765104, 0.10245260106302956, 0.10260202175408921, 0.10328952182095352]","[0.1, 0.10120628203702375, 0.10253158033880491, 0.10227427491189081, 0.10185269035060283, 0.10301444743849802, 0.10424886877455664, 0.10389814330999726, 0.10513531560987628, 0.10468719407544788]","[0.4, 0.39800167649166257, 0.39516258513020625, 0.3943221629298048, 0.3937577547559633, 0.391825523060318, 0.3891258297252564, 0.3891136322848977, 0.3865145959604649, 0.3860346071151734]","[0.4, 0.3968928564825216, 0.39405484822840725, 0.3933445945758537, 0.3927884910037598, 0.38975076900482264, 0.387068684910686, 0.38606950701042164, 0.3834880104993728, 0.3830291754182672]",replicator,Stag Hunt,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39694401449475253, 0.3939409025446778, 0.3910256458564368, 0.39047062756828, 0.38956354587331177, 0.3871168029395104, 0.38450973854226655, 0.38402278347933044, 0.381622867948522]","[0.1, 0.1011789634462559, 0.10233939703638664, 0.1035005291156835, 0.10305790531685513, 0.1025764691121911, 0.10379617347605281, 0.10502317098044811, 0.10457986577991882, 0.10569580917260075]","[0.4, 0.3980507457614914, 0.3961933307992181, 0.3942969666141879, 0.3937240959697734, 0.3941332226498054, 0.3914024510502784, 0.3887528555351743, 0.38822612324494854, 0.3863570820035866]","[0.1, 0.10007234648968313, 0.10014867549749927, 0.1002328810081777, 0.10094942772484321, 0.10155062584218791, 0.10168452993668231, 0.10185564855714445, 0.10255258383925674, 0.10259288610548277]",replicator,Stag Hunt,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10048847801176321, 0.10069423321087906, 0.1010563888003946, 0.10142744897777475, 0.10191940752993695, 0.1021294296456362, 0.10235139651760848, 0.1028365579552787, 0.10305383921438799]","[0.4, 0.39748515637037507, 0.39536364486397524, 0.3945522473265333, 0.3937241829512111, 0.39128957502408696, 0.38762977823712014, 0.3841918469454669, 0.38184646332199945, 0.3785124533722088]","[0.1, 0.1004915977739324, 0.10163918441959623, 0.10198251037702692, 0.1023187962876758, 0.10280296139768819, 0.10421716550363905, 0.1055401924105431, 0.1060211746514371, 0.1073380003822188]","[0.4, 0.39859454048684256, 0.39535398986531756, 0.39340798030865287, 0.3914918652164366, 0.39016128618377444, 0.3876393014197165, 0.3853137828838701, 0.3840835639102368, 0.3818551116134928]",replicator,Stag Hunt,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
