agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.25223295343186847, 0.2525057178053952, 0.2518491705659456, 0.25280439419249795, 0.2525703445367251, 0.2526832587854891, 0.2537404627435146, 0.2547783659497255, 0.2546857947842903]","[0.25, 0.24831906298915693, 0.24769333115532224, 0.24757829920366028, 0.24744899745166296, 0.24751502684191307, 0.24709704212683334, 0.24705892978398986, 0.24677984676036985, 0.24629857983250503]","[0.25, 0.24887468715417832, 0.2493472892994802, 0.24863131266853097, 0.2485267275304406, 0.24888224731715408, 0.24908831529624265, 0.24855674214551707, 0.24769070698989884, 0.24773316970336484]","[0.25, 0.2505732964247963, 0.25045791128183115, 0.25194461549439595, 0.25122659084874627, 0.2510327603822862, 0.25113661017750716, 0.25066055703075407, 0.2507917687921736, 0.2513289880526232]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39782993797325633, 0.39691279799822593, 0.3951030273313712, 0.3901284876751025, 0.38795380023392695, 0.38689259092745804, 0.3838907035308242, 0.382349061104501, 0.38230935846559694]","[0.4, 0.39714854797740834, 0.3939908769843828, 0.3899708612729965, 0.38517002323423877, 0.3820431352059885, 0.38071684945016676, 0.37738783676039905, 0.37372651325375256, 0.37139313782549777]","[0.1, 0.10040806923116385, 0.10115775824186747, 0.10108547098346948, 0.102374340132777, 0.10217255955172223, 0.10231950885557421, 0.10235287678375533, 0.10228697529140064, 0.10264428245546228]","[0.1, 0.10084730928117, 0.1011286522085309, 0.10269387485607631, 0.10394170376031832, 0.1055697940646148, 0.10607322634549243, 0.10778916422099052, 0.10933717347438926, 0.10964924282940101]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10039833965815502, 0.10114131726615436, 0.10156719706625109, 0.10204886838625082, 0.10297788072505387, 0.10345953732587455, 0.10394314419313337, 0.10442586045386087, 0.1060006355733754]","[0.1, 0.10036031778475188, 0.10107628858283772, 0.10190334632201695, 0.10204365002060721, 0.1027298483045165, 0.1026651618815838, 0.10253275397292033, 0.10274795655457761, 0.10316190055812609]","[0.4, 0.398872183084865, 0.39601046387157235, 0.3936089050621695, 0.3910950167072178, 0.38814716103920105, 0.38760699464946935, 0.38600437091838846, 0.38468109040508536, 0.38083040663750406]","[0.4, 0.39809318714350755, 0.3951633113572712, 0.39266237497454, 0.39276742993072866, 0.38951110598663313, 0.38847658260887363, 0.38876794405884446, 0.3874792720142558, 0.3839536051352906]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3972295313960799, 0.3910396311523298, 0.3885872725410607, 0.38764482484472806, 0.38495323039135876, 0.383647782380155, 0.3823792763643822, 0.37929321623128504, 0.37720493402813005]","[0.1, 0.100707451567267, 0.10248899293315963, 0.10343864986985062, 0.10285095405233217, 0.1037354244479226, 0.10370857130770852, 0.10361569896243246, 0.10419098298670257, 0.10420841384508701]","[0.4, 0.3972606283593277, 0.3911222550883811, 0.38856873951400533, 0.38525537616758754, 0.3831050865676528, 0.3818003949401394, 0.38155285701258324, 0.37857926887281385, 0.37662426203088034]","[0.1, 0.10067000849388114, 0.10201336607221756, 0.1023738945207125, 0.10407678221552118, 0.10448532370821877, 0.1052225323404907, 0.10573289217914753, 0.10682320654859796, 0.10794511564804336]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10175588275610589, 0.10334783807089888, 0.10515452289944653, 0.10556602286925333, 0.10731573808702695, 0.1076448822710424, 0.10880119596339265, 0.10895103388251773, 0.11068712415721993]","[0.4, 0.3961196345514071, 0.3916791809570332, 0.3878094185608892, 0.3854737346297544, 0.38246919477017394, 0.3806945765132468, 0.3755505402132967, 0.3727293711888787, 0.3700505589614328]","[0.1, 0.10001533225830883, 0.09990959748680774, 0.09999607944151509, 0.10051698294111572, 0.10079492660154775, 0.10108320987689147, 0.10144598930426874, 0.10229680644873092, 0.10222089146950758]","[0.4, 0.3967955053909341, 0.39545521656735405, 0.392106791978919, 0.390891352943967, 0.3863783800169862, 0.3858810097907529, 0.38556512438285234, 0.38469683921373715, 0.38161716012790864]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2497096946455193, 0.24962946182047735, 0.2493428180176688, 0.2500763114002473, 0.24952866276467858, 0.250780578753992, 0.25093249752861535, 0.25029632233278554, 0.25048183084352044]","[0.25, 0.25026393936061575, 0.24960656330366005, 0.24987018598158925, 0.25111332061395075, 0.2510838951368731, 0.2500967263868151, 0.24945945718825435, 0.24830948354926868, 0.24806136696669423]","[0.25, 0.2502697805664176, 0.25108942121019856, 0.2513511175743034, 0.25034905494924187, 0.2497919141952448, 0.24994111883299022, 0.25041502770572355, 0.2511607043455511, 0.25119078194210936]","[0.25, 0.24975658542744736, 0.24967491677822046, 0.24943769580048236, 0.24845737475223673, 0.24958352319272115, 0.24916352164342329, 0.24917503927893625, 0.2502134371523917, 0.250248044972392]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3978495974277815, 0.3963039095923777, 0.39548502193369733, 0.39199085690358326, 0.39086911011494746, 0.38728230860794416, 0.3852724964154267, 0.38496026435712655, 0.3821197758136274]","[0.4, 0.39728370678940217, 0.3951765038915094, 0.3922028218727284, 0.3893409327730271, 0.3871237983449288, 0.3830329462215684, 0.3799787397434864, 0.3774803791158968, 0.37418130690466345]","[0.1, 0.10089271352392729, 0.10134507708498913, 0.10210375749814589, 0.1021038284757591, 0.10277017873258436, 0.10323920385199727, 0.10309548240791941, 0.10347952320748738, 0.10351278300636621]","[0.1, 0.10032396042177683, 0.10079603698346323, 0.10100822761780594, 0.10263763230628428, 0.10284599149035444, 0.1044071884081486, 0.10592687594717032, 0.10631460238054398, 0.10799404968426629]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10060038723758949, 0.10208780425237456, 0.10467171779469932, 0.10490537831138379, 0.10546013229233839, 0.10581818714585585, 0.10634261884589843, 0.10687944501682647, 0.10852599190335045]","[0.1, 0.09992904560211327, 0.10033458832499387, 0.09987915362592334, 0.10072876168917029, 0.10071831956888555, 0.1011023542802308, 0.10109766043088285, 0.10115461435320908, 0.1015033400340766]","[0.4, 0.3991260963250706, 0.39562548014983945, 0.39154129945254285, 0.38932458187591434, 0.38823925504663537, 0.387168334034124, 0.3860806498557279, 0.3849423752162271, 0.381540735623314]","[0.4, 0.3987561723161184, 0.39473949941626474, 0.39061518726805233, 0.38863197098606483, 0.3877005158396537, 0.3859753567127662, 0.3851647269206782, 0.38413897369417377, 0.38029130412837947]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39876341310590674, 0.39881710726670405, 0.39753961893268264, 0.3964186472418569, 0.3938840625280484, 0.3918551829373058, 0.39071928630205494, 0.38834590820300613, 0.3875193547034762]","[0.1, 0.09995736069926739, 0.09983106642010219, 0.099904612930438, 0.09989230785868283, 0.10067317959884405, 0.10149848966465996, 0.10216870157116781, 0.10165286055311026, 0.10238706759457035]","[0.4, 0.3992604172969415, 0.39799182323620996, 0.39671220371689125, 0.3955514516079373, 0.3937925023108496, 0.391588676622896, 0.3894231357589516, 0.38712155517054314, 0.3846059188886987]","[0.1, 0.10053668170002057, 0.1009696117343988, 0.10154328817667162, 0.10213923270198492, 0.10244804038771496, 0.10270922714356652, 0.10289674716453236, 0.10464944166299645, 0.10479637122170128]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10030550771599257, 0.10187894541950246, 0.10236539622128393, 0.10408025367850333, 0.10423261043124722, 0.10562744562111481, 0.10730783541842508, 0.10739147420497515, 0.10784639628210442]","[0.4, 0.39723848754224805, 0.3928838537633038, 0.39079303759248096, 0.3866102049900636, 0.38355835300136143, 0.3799578956723771, 0.3772763497486298, 0.37529815227525365, 0.3734229479986725]","[0.1, 0.10091854090037951, 0.10140821287239514, 0.10183232668816973, 0.10172482969323693, 0.10260007662290155, 0.10286475492300984, 0.10283186735660182, 0.1035394103513984, 0.10398386757913385]","[0.4, 0.39786531799226377, 0.3940552248664862, 0.3926227080848005, 0.39066224811474287, 0.38981293678939344, 0.38725004626415166, 0.38394624218829343, 0.3830183804646586, 0.38166549217003415]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
