agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.24986282507974575, 0.2512926173525151, 0.2507687355057133, 0.2527888081462511, 0.25393859464679364, 0.25498648022466724, 0.25450285891496016, 0.2558840580786072, 0.25587249795003203]","[0.25, 0.2503972857616977, 0.24922006112603426, 0.2490122339070657, 0.24767058477826076, 0.24660593842549777, 0.24515539507080403, 0.24482470863250577, 0.243986721688791, 0.24345575354023696]","[0.25, 0.24983857635686463, 0.24983004320127764, 0.24916466781508442, 0.2490972696181024, 0.24861672376016264, 0.2482758677966347, 0.24786766420217432, 0.24760243144216895, 0.2481524478936623]","[0.25, 0.24990131280169192, 0.24965472844346595, 0.251048293865082, 0.25044649613241615, 0.2508670911314719, 0.25165142902820664, 0.25288192727318426, 0.25264568851722197, 0.25264569489992855]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39567820994374153, 0.39376835014776057, 0.39020906571022074, 0.38604126908671904, 0.3855759100280986, 0.38184182599654837, 0.38056515115553546, 0.3788536238579431, 0.378096755220941]","[0.4, 0.39490625253593187, 0.39216768162461135, 0.3879589919528377, 0.3843704949844257, 0.38176545349826696, 0.3771952162756709, 0.3742864505769041, 0.37050151852193386, 0.36800798301471604]","[0.1, 0.10029025478923255, 0.10116092289215194, 0.10160541307288876, 0.10203361466987593, 0.10253402993466662, 0.10342061692811721, 0.10403642110175099, 0.10562595112902697, 0.10631535364051589]","[0.1, 0.10206362959084912, 0.10237799115278208, 0.10395225770411888, 0.1055859979298637, 0.10591104146193303, 0.10728883783528848, 0.10783608227466483, 0.10776395423753012, 0.10800115566056381]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10012654168790786, 0.10075275044295644, 0.10176140780857348, 0.10283860822633926, 0.10342722743584007, 0.10453490824376226, 0.10508359757153288, 0.10569595584799724, 0.1065313279924496]","[0.1, 0.10087377998383817, 0.10159765356334809, 0.10218707005663998, 0.10202006106365274, 0.10182910066126073, 0.10258857033870004, 0.10336100153992558, 0.10332171826236969, 0.10393126543856683]","[0.4, 0.3972133821111084, 0.39477023467636135, 0.3914536040218147, 0.3896923365239353, 0.3878436077600858, 0.38495798374803925, 0.38248037455331496, 0.38139105280982866, 0.37848627692997644]","[0.4, 0.3987853312019076, 0.39588237791730985, 0.3929483861951843, 0.3911990180654341, 0.3915480251660993, 0.3873475514410414, 0.3848909083478514, 0.38389048490905286, 0.38151543906846214]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3985117110399769, 0.39505611203112595, 0.3935052262782172, 0.3936822233260446, 0.3912943941811436, 0.3898353884163094, 0.38866195312926777, 0.38624311785646975, 0.3883958078305701]","[0.1, 0.10020864695598637, 0.10115762580134831, 0.10185444577471381, 0.10169504415246965, 0.10249119842764323, 0.10250014234416947, 0.10255122631541842, 0.10365473197868774, 0.10336093564802822]","[0.4, 0.39840787667681415, 0.393241245296938, 0.3903023015690636, 0.38860769109917714, 0.3860760751780628, 0.38526354526864354, 0.3841819970795391, 0.38161200367917514, 0.3795108702974266]","[0.1, 0.10056145611481589, 0.10178523143602823, 0.10224437634743823, 0.10280232267365771, 0.10329074798673814, 0.1038842550649717, 0.10443681477354586, 0.10466161327920996, 0.10495120247751773]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10009527556042602, 0.10134875483239947, 0.10308339854497667, 0.10342036502993235, 0.10357579226562934, 0.10535018909889633, 0.10715367754061716, 0.10872291848277944, 0.11014179264720962]","[0.4, 0.39733152497457525, 0.3927673647853182, 0.3884546807394281, 0.38585387575614355, 0.3830362624843597, 0.3798204423993487, 0.3763703941177873, 0.3726040365804565, 0.368214254474916]","[0.1, 0.10074089124337385, 0.10120697072116852, 0.10109509995910637, 0.1015638769927026, 0.10238569106632542, 0.10255719141254267, 0.10256204256680675, 0.1025278634617819, 0.10294858090969679]","[0.4, 0.39932380781022536, 0.3970626981696019, 0.39506548346826736, 0.3945872158507515, 0.39368274845870305, 0.3895841860574763, 0.386435207576905, 0.38477181022785567, 0.38270464133024834]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24985985798968854, 0.24988261193243697, 0.2507939158787881, 0.250901966612874, 0.25098283683348416, 0.2508185954422393, 0.2508823758389796, 0.25032242311266606, 0.25157514850645596]","[0.25, 0.2504679562495116, 0.2499425755759703, 0.24866764115393855, 0.24824706699868238, 0.24766983169759374, 0.2469910986872415, 0.24652296718704744, 0.24655896740950123, 0.24560599766548116]","[0.25, 0.249829952936387, 0.24988220524478363, 0.2493033868136607, 0.24943678134003444, 0.2499676722341506, 0.25049963762338257, 0.25063773730084044, 0.25006654942849704, 0.25020423756051813]","[0.25, 0.24984223282441287, 0.25029129376834053, 0.2512349786201162, 0.25141722611919276, 0.25138569052893817, 0.2517041286477217, 0.25197842364281287, 0.2530782689949068, 0.25265057306854816]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39805103761067306, 0.39748435858635894, 0.3954189787529027, 0.39506352278964213, 0.3918791031514572, 0.39165759726649024, 0.38862863127984, 0.38841814643830214, 0.38826382263605197]","[0.4, 0.3958176943682933, 0.39415589664485695, 0.3915694887043095, 0.3889756813920985, 0.38532612258418486, 0.38292716708147245, 0.379487381310569, 0.3775057503226892, 0.3752150391768183]","[0.1, 0.09993167416273495, 0.1002156171239728, 0.10108693940407174, 0.10149831234812767, 0.10161624605301892, 0.10196966048176453, 0.10203932026242073, 0.10234224665032578, 0.10268636243754087]","[0.1, 0.1016011428425235, 0.1018836605463096, 0.10219578555434186, 0.10254872573317528, 0.10421833011580665, 0.10456361457178169, 0.10624012892329616, 0.10653704349548264, 0.10686762027263393]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10062400920023773, 0.10121171535061044, 0.10140734561024242, 0.10196313620353818, 0.10221658109446001, 0.10441193867053397, 0.1048218705916243, 0.10505177618706445, 0.10561101700847515]","[0.1, 0.0999395403765165, 0.09993552501135634, 0.10066959462477583, 0.10066467981650506, 0.10156701635156833, 0.100944196052432, 0.10159634051533406, 0.10240193095558833, 0.10239049003822974]","[0.4, 0.3991402536504954, 0.39797360633269363, 0.3952715878289316, 0.3941538872377139, 0.39191026924726047, 0.3892977632755677, 0.3864320376494426, 0.3847464452973834, 0.38371990861074334]","[0.4, 0.39860554804248777, 0.3974585458674618, 0.39646932233725957, 0.3954368076676166, 0.3931601995093864, 0.38974783805548796, 0.38856874242575057, 0.38633031993134065, 0.38534762455322497]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3990757277452967, 0.39780863875813655, 0.39368321307865806, 0.3925261513190554, 0.39148690526595986, 0.39026438108208145, 0.38905855929999855, 0.3865751123138075, 0.38555043161321334]","[0.1, 0.09995081623412047, 0.09992599490973432, 0.10053424376433052, 0.10053676424123349, 0.10124453175340377, 0.10120381380370934, 0.10112245763648252, 0.10092653058879104, 0.10093457020680575]","[0.4, 0.39896368199600657, 0.3982609466098024, 0.3941299866738476, 0.39297565734466594, 0.3902674843085571, 0.38966102848492723, 0.388920057634817, 0.3858678825775412, 0.3848223680656502]","[0.1, 0.10053933133055373, 0.10106060728329885, 0.10254173938851006, 0.1031408703505365, 0.10339863476567632, 0.10392378557900005, 0.10452604663476724, 0.10621608284857777, 0.10677695899878861]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10161612120234384, 0.10314059594963837, 0.10332533080716186, 0.10356151535790227, 0.10505249030507767, 0.10529357250879996, 0.1067414505080561, 0.10841977605694696, 0.10864571988207185]","[0.4, 0.39595289166417286, 0.39266072091499343, 0.3895839404864312, 0.3866128146572149, 0.3820715909428157, 0.3806033337402804, 0.3762470514965166, 0.3728734413359989, 0.37145615964749046]","[0.1, 0.09990950132609558, 0.09979276263590107, 0.10061554720292519, 0.1013729598006861, 0.10172232686062321, 0.10202260746560021, 0.10238550954740333, 0.10246925350718748, 0.10275150649783069]","[0.4, 0.39794461822206956, 0.3957482439560056, 0.394877476231279, 0.39401379409673565, 0.39161142433673374, 0.3910616205741221, 0.3887691332925928, 0.3858243119604675, 0.3854240138608193]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24967021154951302, 0.2494126308629566, 0.24967328843983175, 0.24992979516482744, 0.25001354509314505, 0.25025264665634667, 0.24988284140325523, 0.24933844248258716, 0.2484131261302264]","[0.25, 0.2509821068344129, 0.2518150409787063, 0.25112953099572166, 0.24991417340160788, 0.24871947952508772, 0.2479615848840443, 0.24892567645362734, 0.249563415517365, 0.2500073492028674]","[0.25, 0.24965646156015484, 0.2493429581494939, 0.24953617408124093, 0.24941073237049743, 0.25058656940059776, 0.25079307196716444, 0.2503468617012564, 0.2508623522593591, 0.25000161457315284]","[0.25, 0.24969122005591923, 0.2494337193956418, 0.24965878088573254, 0.25073603221439034, 0.25066854972132013, 0.25098608543833156, 0.25082767715485765, 0.25021504197822575, 0.25155703533094226]",replicator,Stag Hunt,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39855618657089564, 0.3968464320613685, 0.39447733405035784, 0.3933435979769983, 0.39142640393271544, 0.3894000523221727, 0.3874016394254448, 0.3850309895846478, 0.3828937454522149]","[0.4, 0.39716523944170634, 0.39544970634304055, 0.39174830446169434, 0.3908057953980725, 0.3879223266251818, 0.3842437505354745, 0.38338986687687227, 0.37992331239089394, 0.3778192758030704]","[0.1, 0.10060885026501835, 0.10100412013682424, 0.10234424770927283, 0.1026201269434347, 0.10297883335099961, 0.10441515137891279, 0.10477696744210971, 0.1061298772044219, 0.10727690576479372]","[0.1, 0.10046079323183116, 0.10093100365015045, 0.1011390974728335, 0.10140047373897747, 0.10228842571899235, 0.10236124509593875, 0.10275933892245545, 0.102990437417182, 0.10301938914493224]",replicator,Stag Hunt,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.100710795365346, 0.10107626864397444, 0.101301912402013, 0.10149199978949729, 0.101508411789516, 0.1016946431980672, 0.10236717767156657, 0.10310960799103844, 0.10342238405116834]","[0.1, 0.09959231876390327, 0.10084842983238565, 0.10202319633233424, 0.10325869047192415, 0.1043795458603304, 0.10564511467930549, 0.10529391277352419, 0.10487556380377096, 0.10597610816251554]","[0.4, 0.3993754492589917, 0.3959439857814358, 0.392629597893342, 0.3898664433520074, 0.3865642641791247, 0.3838684096461691, 0.3831220271980125, 0.3824259581950305, 0.3797769034277514]","[0.4, 0.3994120942240113, 0.3963568337861856, 0.394172751773466, 0.3914337172984056, 0.39043692770657534, 0.3877095548240698, 0.3871882609622888, 0.38662194674174793, 0.384070137656563]",replicator,Stag Hunt,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39955086631561954, 0.39666221736972024, 0.3936420274974633, 0.39293297248256664, 0.39277052553316766, 0.3900063278716026, 0.38703120520467776, 0.3835242446927211, 0.38270415682396075]","[0.1, 0.09955695650927801, 0.10084522467266234, 0.10200881219432376, 0.10153424624678445, 0.10090916374397747, 0.10223991713412414, 0.1033690703667089, 0.10434074718055877, 0.10380583738478857]","[0.4, 0.39941156132825606, 0.39674129575578565, 0.3947322750786343, 0.3940070973073938, 0.3938438061684698, 0.3909718195338978, 0.389204596414113, 0.3854239748677569, 0.38570245816969406]","[0.1, 0.10070243657975311, 0.10080064437511861, 0.10091550313304927, 0.10175215444046228, 0.10246281486069833, 0.1025798531665084, 0.10269313429586327, 0.10365586417634258, 0.10433401440502345]",replicator,Stag Hunt,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10017143069618309, 0.10083360271902707, 0.10120653988177991, 0.1017362047381493, 0.10233221336827614, 0.10262603945467277, 0.1030500726118459, 0.10321784794191427, 0.10359947268492142]","[0.4, 0.39683819327344627, 0.39401313878667615, 0.3932221503135488, 0.39171856920108733, 0.38781929014532945, 0.38423579837560534, 0.38320183127411067, 0.3812921654400318, 0.37779021497035337]","[0.1, 0.10132160966394536, 0.10169038498297413, 0.10206331308327024, 0.10259147297571222, 0.10377829933458976, 0.1051149247032668, 0.10552640986510098, 0.10667563323049467, 0.10796743126243223]","[0.4, 0.39718964528604, 0.39594599229226796, 0.3938243900630787, 0.3912312196510757, 0.3883077225371212, 0.3857795239548571, 0.38371348960168283, 0.38082219504175724, 0.37830022470467084]",replicator,Stag Hunt,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.250279145332613, 0.25076322697188747, 0.2510491108538859, 0.25133071490484166, 0.25078120572574647, 0.25050838336604225, 0.24993393957817622, 0.2502095690973607, 0.24992254081938386]","[0.25, 0.24916340501687245, 0.24825261793787826, 0.2474220255402767, 0.24659559673137274, 0.24716085019232356, 0.24799476609917104, 0.2485528502866962, 0.24770759946328166, 0.24855550270508384]","[0.25, 0.2502776166746317, 0.25048330713860806, 0.2507585061324124, 0.2510344519061724, 0.25158087843283194, 0.2512761967270101, 0.2518550691639881, 0.2521618510522811, 0.2518678552253415]","[0.25, 0.2502798329758828, 0.2505049257692557, 0.25078224168668395, 0.2510626175556599, 0.2504895598387105, 0.2502202780553761, 0.24965452884910477, 0.24992410332142118, 0.24964670062522654]",replicator,Stag Hunt,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3985936327986119, 0.3972266433121413, 0.3958077082237768, 0.3927983779817928, 0.3898187454581128, 0.38691020888965155, 0.38457335447564217, 0.3833177336088125, 0.38106476955020724]","[0.4, 0.39747689778169076, 0.3949844517521647, 0.39268287639244476, 0.3908161839129952, 0.3889682119925964, 0.38716928594381994, 0.38594971760518826, 0.3835625439363011, 0.3802047457846153]","[0.1, 0.10049390855405241, 0.10098024571198094, 0.10144196225646895, 0.10262058646261514, 0.10379475357184911, 0.10497665345108259, 0.10571989848243239, 0.10617878264038987, 0.10749948773281942]","[0.1, 0.10048845880087194, 0.10097690622408159, 0.10146429768993234, 0.10153917788623787, 0.10162775250024539, 0.10169881326721826, 0.10191336196214759, 0.10243409836144228, 0.10265876428165627]",replicator,Stag Hunt,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10074329000096088, 0.10145428784348372, 0.10149722392191668, 0.10156722022952669, 0.10170585515528971, 0.10234563722032604, 0.1030366546532847, 0.10317743066216979, 0.10386954456905453]","[0.1, 0.09956296660916161, 0.09913039695519171, 0.10032546529269662, 0.10150349999399397, 0.10275581601623344, 0.10224800930633542, 0.10182435203282539, 0.10306647942052823, 0.10263856052295368]","[0.4, 0.3993580433066091, 0.398735376656058, 0.3968287798116186, 0.39492683156026587, 0.39222061634122574, 0.39251119827083747, 0.3919929578705214, 0.38927316142671975, 0.38877474692012326]","[0.4, 0.399416930252901, 0.3989561359630182, 0.3958853246121585, 0.3928611964529086, 0.390170029005704, 0.3893547691029939, 0.3888532593552968, 0.38627647795372, 0.3857836848380132]",replicator,Stag Hunt,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
