agent1,agent1_payoff,agent2,agent2_payoff,n_plays,prob
TitforTat,1077,NeverForgive,1077,359,0.99
TitforTat,1,MyAgent,5,1,0.75
TitforTat,24,MyAgent,24,8,0.9
TitforTat,804,MyAgent,804,268,0.99
TitforTwoTats,1,AlwaysDefect,5,1,0.75
TitforTwoTats,12,AlwaysDefect,20,7,0.9
TitforTwoTats,270,AlwaysDefect,278,136,0.99
TitforTwoTats,1,RandomAgent,5,1,0.75
TitforTwoTats,25,RandomAgent,37,11,0.9
TitforTwoTats,43,RandomAgent,67,19,0.99
TitforTwoTats,3,AlwaysCoorperate,3,1,0.75
TitforTwoTats,15,AlwaysCoorperate,15,5,0.9
TitforTwoTats,333,AlwaysCoorperate,333,111,0.99
TitforTwoTats,6,TitforTat,6,2,0.75
TitforTwoTats,18,TitforTat,18,6,0.9
TitforTwoTats,3,TitforTat,3,1,0.99
TitforTwoTats,6,TitforTwoTats,6,2,0.75
TitforTwoTats,51,TitforTwoTats,51,17,0.9
TitforTwoTats,498,TitforTwoTats,498,166,0.99
TitforTwoTats,6,PavlovAgent,6,2,0.75
TitforTwoTats,51,PavlovAgent,51,17,0.9
TitforTwoTats,258,PavlovAgent,258,86,0.99
TitforTwoTats,6,WinStayLoseShift,6,2,0.75
TitforTwoTats,99,WinStayLoseShift,99,33,0.9
TitforTwoTats,96,WinStayLoseShift,96,32,0.99
TitforTwoTats,3,NeverForgive,3,1,0.75
TitforTwoTats,3,NeverForgive,3,1,0.9
TitforTwoTats,75,NeverForgive,75,25,0.99
TitforTwoTats,12,MyAgent,24,6,0.75
TitforTwoTats,21,MyAgent,45,11,0.9
TitforTwoTats,72,MyAgent,144,36,0.99
PavlovAgent,3,AlwaysDefect,7,2,0.75
PavlovAgent,6,AlwaysDefect,14,4,0.9
PavlovAgent,34,AlwaysDefect,82,23,0.99
PavlovAgent,6,RandomAgent,10,3,0.75
PavlovAgent,23,RandomAgent,23,8,0.9
PavlovAgent,78,RandomAgent,98,32,0.99
PavlovAgent,9,AlwaysCoorperate,9,3,0.75
PavlovAgent,51,AlwaysCoorperate,51,17,0.9
PavlovAgent,3,AlwaysCoorperate,3,1,0.99
PavlovAgent,9,TitforTat,9,3,0.75
PavlovAgent,12,TitforTat,12,4,0.9
PavlovAgent,189,TitforTat,189,63,0.99
PavlovAgent,6,TitforTwoTats,6,2,0.75
PavlovAgent,48,TitforTwoTats,48,16,0.9
PavlovAgent,387,TitforTwoTats,387,129,0.99
PavlovAgent,18,PavlovAgent,18,6,0.75
PavlovAgent,15,PavlovAgent,15,5,0.9
PavlovAgent,432,PavlovAgent,432,144,0.99
PavlovAgent,36,WinStayLoseShift,36,12,0.75
PavlovAgent,54,WinStayLoseShift,54,18,0.9
PavlovAgent,327,WinStayLoseShift,327,109,0.99
PavlovAgent,3,NeverForgive,3,1,0.75
PavlovAgent,36,NeverForgive,36,12,0.9
PavlovAgent,351,NeverForgive,351,117,0.99
PavlovAgent,22,MyAgent,22,8,0.75
PavlovAgent,1,MyAgent,5,1,0.9
