agent1,agent2,final_theta1,final_theta2,game,gamma,generations_until_stability,initial_theta1,initial_theta2,population_progress,theta_progress
AlwaysDefect,AlwaysCoorperate,0.5824368949518448,0.428813679446464,Prisoner's Dilemma,0.95,45,0.5,0.5,"[[450, 450], [452, 447], [457, 442], [459, 440], [461, 438], [463, 436], [465, 434], [467, 432], [472, 428], [476, 425], [475, 425], [477, 424], [479, 422], [481, 420], [480, 420], [483, 418], [485, 416], [488, 414], [490, 412], [492, 410], [495, 408], [494, 409], [496, 407], [499, 405], [499, 405], [500, 404], [500, 404], [501, 403], [503, 401], [505, 400], [507, 398], [504, 400], [506, 399], [506, 399], [506, 399], [508, 398], [507, 398], [511, 395], [515, 392], [517, 391], [516, 391], [518, 390], [520, 388], [522, 387], [524, 385]]","[[0.5, 0.5], [0.5025685674281322, 0.4974314325718678], [0.5084399136301839, 0.49162010185662236], [0.5106101102645016, 0.4895216979709113], [0.5127928889533896, 0.48742906895985305], [0.5148689417027508, 0.48545570216688133], [0.5176050420924424, 0.4828759086926739], [0.5198220720135242, 0.48080763220639106], [0.5247801857583414, 0.476221642002817], [0.529184693131592, 0.4722246890110194], [0.5286060747508805, 0.4727410264796461], [0.5303171406699081, 0.4712107923458128], [0.5324524448585625, 0.46931347788721517], [0.5347906464092065, 0.46725254359659407], [0.5341985807079562, 0.46776983799346317], [0.5376800572821941, 0.4647212905208153], [0.5399287386213363, 0.4627777367666024], [0.5426997605504212, 0.4604026691601864], [0.545505795879163, 0.45802215188521983], [0.5477005943437908, 0.45617933678899697], [0.5503403265902922, 0.4539807061540379], [0.5497558819978041, 0.4544628197771655], [0.5518639234457425, 0.4527201800128473], [0.5545384392174756, 0.4505261477339005], [0.5545687441329533, 0.4505015269756951], [0.5558644139384364, 0.4494489951985229], [0.556068918264919, 0.4492836414508345], [0.5567229368331726, 0.4487552180229646], [0.5595327839961457, 0.4464902968336136], [0.5618082794660034, 0.44467452003404123], [0.5638489971504821, 0.443059280120288], [0.5607651722822198, 0.4454824771695942], [0.5632145196911276, 0.4435366691823963], [0.5631236504124653, 0.4436082295839481], [0.5624640283361774, 0.44412785574641206], [0.5645888353575144, 0.4424500844779936], [0.563949675544786, 0.4429509734354551], [0.5682648474888746, 0.43956164687661103], [0.5725317695233463, 0.43626111670154477], [0.574533477984571, 0.43473584314452995], [0.574055650213317, 0.4350974040752223], [0.5761012673843315, 0.4335469573188679], [0.5780947310627446, 0.4320467694851809], [0.5802126097209614, 0.4304639447623849], [0.5824460280766994, 0.4288069554801664]]"
AlwaysDefect,AlwaysCoorperate,0.6680555368384489,0.27810374188670045,Prisoner's Dilemma,0.95,439,0.25,0.75,"[[225, 675], [224, 675], [227, 668], [232, 653], [235, 645], [237, 638], [240, 632], [242, 625], [244, 619], [247, 612], [250, 606], [248, 609], [251, 602], [253, 597], [253, 598], [255, 592], [258, 586], [260, 580], [260, 581], [266, 569], [265, 569], [269, 562], [271, 558], [273, 552], [276, 547], [279, 542], [279, 542], [281, 538], [281, 538], [281, 538], [283, 534], [285, 529], [286, 527], [289, 523], [291, 519], [291, 519], [291, 519], [294, 514], [296, 510], [297, 509], [297, 508], [297, 508], [296, 509], [299, 504], [303, 499], [305, 495], [308, 490], [311, 485], [311, 485], [313, 482], [316, 478], [318, 475], [319, 474], [321, 470], [322, 468], [324, 465], [327, 462], [327, 462], [329, 458], [334, 451], [336, 448], [336, 448], [338, 446], [340, 443], [340, 444], [342, 441], [344, 438], [347, 435], [350, 431], [352, 429], [352, 429], [354, 425], [356, 423], [359, 420], [361, 418], [363, 415], [363, 415], [367, 411], [367, 411], [370, 408], [372, 405], [374, 403], [377, 399], [379, 397], [381, 395], [383, 393], [386, 391], [388, 388], [388, 388], [388, 389], [387, 389], [389, 387], [391, 385], [394, 382], [397, 380], [396, 380], [399, 378], [398, 378], [400, 376], [403, 374], [405, 372], [407, 370], [407, 370], [409, 368], [411, 366], [412, 365], [412, 365], [414, 364], [417, 361], [417, 361], [417, 361], [416, 362], [418, 360], [418, 360], [420, 358], [420, 359], [423, 356], [425, 354], [424, 355], [426, 353], [428, 352], [427, 352], [427, 352], [430, 350], [434, 347], [437, 345], [436, 345], [439, 343], [434, 347], [433, 347], [435, 346], [435, 346], [434, 347], [433, 348], [433, 347], [432, 348], [436, 345], [435, 346], [435, 346], [437, 344], [440, 342], [440, 342], [439, 343], [441, 341], [444, 339], [444, 339], [446, 337], [446, 338], [448, 336], [447, 337], [450, 335], [450, 335], [449, 335], [451, 334], [453, 332], [455, 331], [457, 329], [457, 329], [457, 329], [459, 328], [461, 326], [463, 325], [465, 323], [467, 322], [469, 321], [471, 319], [473, 318], [475, 317], [478, 314], [480, 313], [484, 310], [486, 309], [486, 310], [488, 308], [490, 307], [493, 305], [495, 304], [496, 303], [498, 302], [500, 301], [499, 302], [498, 302], [499, 301], [499, 301], [501, 300], [502, 299], [505, 297], [505, 298], [507, 297], [509, 295], [511, 294], [510, 295], [509, 295], [508, 296], [510, 295], [513, 293], [511, 294], [512, 293], [514, 292], [513, 293], [516, 291], [517, 291], [520, 289], [521, 288], [521, 289], [520, 289], [520, 289], [521, 288], [520, 289], [520, 289], [522, 288], [523, 287], [526, 286], [525, 286], [525, 286], [527, 285], [529, 284], [528, 285], [527, 285], [529, 284], [530, 284], [529, 284], [531, 283], [530, 284], [532, 283], [531, 283], [532, 282], [532, 282], [532, 283], [534, 282], [533, 282], [532, 283], [533, 282], [535, 281], [537, 280], [536, 281], [535, 281], [534, 281], [533, 282], [532, 282], [531, 283], [530, 283], [532, 283], [534, 282], [532, 282], [534, 282], [533, 282], [532, 283], [533, 282], [535, 281], [537, 280], [537, 280], [539, 279], [541, 278], [540, 279], [540, 278], [539, 279], [541, 278], [540, 279], [538, 279], [540, 278], [542, 277], [541, 278], [543, 277], [544, 276], [543, 277], [542, 277], [542, 277], [541, 278], [542, 277], [543, 277], [544, 276], [543, 277], [547, 275], [546, 275], [548, 274], [549, 274], [551, 273], [554, 271], [555, 271], [556, 270], [558, 269], [559, 269], [558, 269], [560, 268], [561, 268], [561, 268], [560, 268], [559, 269], [558, 269], [560, 268], [561, 268], [560, 268], [562, 267], [564, 266], [566, 266], [565, 266], [566, 265], [568, 265], [569, 264], [568, 264], [570, 264], [571, 263], [571, 263], [571, 263], [569, 264], [568, 264], [570, 264], [570, 264], [571, 263], [573, 262], [574, 262], [575, 261], [576, 261], [575, 261], [576, 261], [576, 261], [575, 261], [577, 261], [578, 260], [577, 260], [578, 260], [580, 259], [581, 259], [583, 258], [584, 257], [585, 257], [585, 257], [586, 256], [590, 255], [588, 255], [590, 255], [588, 255], [588, 255], [588, 255], [590, 255], [589, 255], [590, 255], [591, 254], [593, 253], [590, 255], [592, 254], [593, 253], [592, 254], [591, 254], [590, 255], [591, 254], [590, 255], [587, 256], [586, 256], [585, 257], [587, 256], [586, 256], [587, 256], [586, 256], [589, 255], [587, 256], [587, 256], [586, 256], [588, 256], [589, 255], [589, 255], [588, 255], [587, 256], [588, 255], [589, 255], [588, 255], [587, 256], [588, 255], [586, 256], [587, 256], [589, 255], [588, 255], [587, 256], [585, 256], [587, 256], [581, 258], [574, 262], [573, 262], [572, 262], [571, 263], [572, 262], [572, 263], [573, 262], [576, 261], [577, 260], [579, 259], [581, 258], [582, 258], [585, 256], [584, 257], [586, 256], [587, 256], [588, 255], [590, 254], [592, 254], [591, 254], [590, 255], [591, 254], [590, 255], [589, 255], [588, 255], [587, 256], [588, 255], [590, 255], [591, 254], [594, 253], [593, 253], [594, 253], [596, 252], [597, 251], [599, 251], [600, 250], [599, 251], [598, 251], [597, 252], [597, 251], [596, 252], [597, 251], [596, 252], [594, 252], [596, 252], [594, 252], [596, 252], [595, 252], [597, 251], [597, 251], [598, 251], [597, 252], [596, 252], [597, 251], [598, 251], [597, 251], [599, 251], [600, 250], [601, 250], [602, 249], [601, 250], [601, 250]]","[[0.25, 0.75], [0.24980782572019827, 0.7505765228394052], [0.2525730288834273, 0.7422681499162701], [0.25816038472683356, 0.7258478840504197], [0.2611635624274888, 0.7174041013927724], [0.2639753829928083, 0.709680161700761], [0.2667294778260405, 0.7022759619438439], [0.2694306820999733, 0.6951639215149259], [0.27219860623598774, 0.6880223406754666], [0.27522732238239084, 0.6803668114973223], [0.2777870595889493, 0.6740390958242483], [0.27643921278004063, 0.6773095917419872], [0.27952162007701187, 0.6697573200982558], [0.28213600425094704, 0.6634930356484173], [0.28164610302380316, 0.6646451255889712], [0.28417930509525635, 0.6586671255710517], [0.28728782451148666, 0.6514622393884217], [0.28989460682774015, 0.6455510238740423], [0.2898008713310654, 0.6457597585121713], [0.2956432346963455, 0.6327412912502366], [0.29547309849482917, 0.6331054199946214], [0.29900929486209377, 0.6255284693426497], [0.3015709548977525, 0.6201694677710736], [0.3043610621020056, 0.6144317159359456], [0.30729138914124776, 0.6085160910575844], [0.3102997492895036, 0.6025587631837838], [0.3102191739805576, 0.6027152291771106], [0.3127340975823693, 0.5978290619696515], [0.3125641808630645, 0.5981538783350566], [0.3122386999736182, 0.5987767509105663], [0.3147240859435352, 0.5940105533317545], [0.31746182304184334, 0.588843345605128], [0.3187127231842036, 0.5865231163007425], [0.3214699491412612, 0.5814490271821098], [0.323961463800681, 0.5769425755563841], [0.3238680813496697, 0.5771088802494366], [0.3235137876153006, 0.5777402053848716], [0.3268585084696074, 0.5717671069040732], [0.3294909102391714, 0.5671622986919819], [0.330209199966292, 0.5659258856678264], [0.3307220813794597, 0.5650468887530853], [0.3307915450021363, 0.5649282084287742], [0.32987885859567606, 0.5664869009172886], [0.3330444640673108, 0.5610507415926587], [0.33683317868032264, 0.5546682270258241], [0.3393768481380683, 0.550479528531824], [0.3428197459715244, 0.5448950439491481], [0.3460060994603426, 0.5398304925493832], [0.3459315079464566, 0.5399468684564666], [0.3485196350290134, 0.5359071927365833], [0.3512819337645154, 0.5316596967218481], [0.35382962077527164, 0.5278038123927984], [0.3545119641702105, 0.5267859681421653], [0.3570048643209391, 0.523081650792941], [0.3586027579182504, 0.5207404254926558], [0.36100637508800754, 0.5172500434471665], [0.3636853764485354, 0.5134115694872808], [0.3636351600598108, 0.5134824595384587], [0.3663219421592566, 0.5096885044092561], [0.37186429888973965, 0.5019770484800494], [0.3744024771869524, 0.49855077912868917], [0.37427959032819713, 0.49871441410150624], [0.37664231189173136, 0.49556617056728164], [0.37841717348225945, 0.4932309009124007], [0.37801854398678075, 0.4937504766583319], [0.38036186922045556, 0.49068973276230515], [0.3831152060422813, 0.48713776233983563], [0.38580490499035264, 0.48371776254273363], [0.38891918588782515, 0.47981311289165507], [0.3912448831288678, 0.47694387919643166], [0.39133169209365043, 0.4768380554369454], [0.3942364287801282, 0.4732986308998574], [0.3966459965932356, 0.47040583595817], [0.39916460635601714, 0.46741886838232255], [0.40149673280186976, 0.4646879651737533], [0.40415779638841454, 0.46160807903221485], [0.4043382569581044, 0.46140196632658353], [0.4077819437699398, 0.4574722766693458], [0.40800267756165287, 0.45722464532672363], [0.4112752833441127, 0.45355722817367505], [0.41368780815809264, 0.450896679116042], [0.41606403637339723, 0.4483067226561861], [0.41970148879181507, 0.444387387578027], [0.422092934940023, 0.44185528193933865], [0.4243447231178526, 0.4394980652748997], [0.42658885598106916, 0.4371737944689456], [0.42902367645364964, 0.43467855885759643], [0.4318915536926945, 0.4317728806545819], [0.43145825480817684, 0.432206060479362], [0.43134742455872743, 0.432317082820371], [0.430840171651817, 0.432825476019176], [0.43306582294020335, 0.4305895689665555], [0.4355428964041189, 0.42812665931488997], [0.43832798469729706, 0.42538899430714977], [0.44138796148006415, 0.4224193448855564], [0.4408722657437348, 0.4229128786338944], [0.4435361299007557, 0.42035752973474133], [0.44310514053641054, 0.42076599617597266], [0.44540022922277184, 0.41858661437900235], [0.4477939304086136, 0.4163370168047825], [0.4500874906722093, 0.4142045760253015], [0.45298239462414747, 0.4115404662935343], [0.45291280426464897, 0.41160369005087544], [0.45507049671514627, 0.4096427956662233], [0.4575157962348544, 0.4074415997224627], [0.45870949739911143, 0.4063785467831806], [0.4586896001173774, 0.4063961741235384], [0.46082083969176313, 0.40450790892426336], [0.4640628101419979, 0.40166211165412274], [0.46409237794605845, 0.40163651971622905], [0.46359420369020427, 0.4020676514991276], [0.4630945352385913, 0.4025010057543557], [0.46534793573741434, 0.4005424510789559], [0.4654002633406245, 0.40049741074496226], [0.46754896672582974, 0.3986483569089016], [0.4669122099870141, 0.3991912776417975], [0.4704678126967604, 0.396151379437958], [0.4726310544640344, 0.3943298494904549], [0.4719827926453128, 0.3948707132000916], [0.47407415957233784, 0.3931210317224915], [0.47609980035920063, 0.3914412903150522], [0.47539826265221935, 0.39201808288043083], [0.47529920382440105, 0.39209976776408406], [0.4779334376545419, 0.3899266472018706], [0.4831513719188631, 0.38566954474218207], [0.4856529042490092, 0.3836727278210303], [0.4855269651803891, 0.38377222148321977], [0.4880402990828904, 0.38178562175907543], [0.4825168163351198, 0.38610654832824587], [0.48183058429343556, 0.38665566636102117], [0.48427476295532457, 0.3846942808449815], [0.48442948487691323, 0.38457137409263853], [0.4831184125430992, 0.38561218788430485], [0.4817396657233673, 0.3867126666983842], [0.4819713649132098, 0.38652667202542884], [0.48091760105117987, 0.387371759240858], [0.4845846867411311, 0.38441797790306037], [0.48435199481420066, 0.38460257094215644], [0.48432871894331786, 0.3846210532853248], [0.486560546526131, 0.382848687034722], [0.4899613351517371, 0.3801727868420499], [0.48932408309442893, 0.3806672460435554], [0.4886598013022941, 0.3811840207725034], [0.4907192079113738, 0.37957755981630775], [0.4936174578927962, 0.37733572652763675], [0.4944142519699572, 0.3767266336619145], [0.4965778437250177, 0.3750780512530236], [0.495885694622559, 0.37560084931944415], [0.4981177095341442, 0.3739102445982832], [0.4974006784002372, 0.37444848140764], [0.50024930652963, 0.37230400408087627], [0.5000534450983681, 0.3724497713896001], [0.4997538462990324, 0.37267291854599904], [0.501833166410353, 0.3711223425970276], [0.5039387453900245, 0.3695651968048347], [0.5059218308082889, 0.36811089435322525], [0.50798944844701, 0.36660648688981506], [0.5079457222844964, 0.3666380432437379], [0.5081911712974395, 0.3664608767830837], [0.5109177494359939, 0.36449471862901495], [0.5133160327249375, 0.36278375518419204], [0.5152156279016687, 0.361441224993023], [0.517270900462459, 0.3599993816330068], [0.5192706214939656, 0.3586076576173367], [0.5211140457495107, 0.35733459107570553], [0.5238060892457178, 0.3554886222907122], [0.526013308594514, 0.3539906607711604], [0.5279406953146597, 0.35269358921901867], [0.5321773162427317, 0.34986329207666345], [0.5342023785777787, 0.3485319783329622], [0.5387717449002202, 0.34555076681471986], [0.5406496765720207, 0.34434632219534494], [0.5400046816093009, 0.3447571272931216], [0.5428885016257607, 0.3429159997281861], [0.544639398433617, 0.3418100442189261], [0.5484286889229387, 0.33943192476330375], [0.5502574538264722, 0.3383000707890614], [0.5520978264823172, 0.33716860369957247], [0.5541206385131727, 0.3359332633753118], [0.5559882535946024, 0.3348010297326216], [0.5545745900501912, 0.33565229953428444], [0.5540418212726783, 0.33597475402192345], [0.5549604397628238, 0.3354176974795894], [0.5550005262460288, 0.33539346923747826], [0.5576783956773854, 0.33377520064803634], [0.5588554996224288, 0.3330706940569872], [0.562153914813453, 0.3311048810020834], [0.5612112076401208, 0.3316601291969653], [0.5635357814366112, 0.3302863710909685], [0.5664192373444713, 0.32859638756307236], [0.5682968496579757, 0.3275071296728318], [0.5675054493152488, 0.32796321042503823], [0.5666357398445178, 0.328465818303962], [0.5655411063079367, 0.3291003524059491], [0.56774946648433, 0.32781526082872503], [0.5701885636156907, 0.32640694024102845], [0.5682387819570308, 0.3275231012901129], [0.5699797989676358, 0.3265196089048373], [0.5718057937262305, 0.32547356640382497], [0.5708223603316952, 0.32603333963059516], [0.5736566426445692, 0.32441449882802875], [0.575480871640586, 0.32338286022839163], [0.5779000340526541, 0.3220234481284875], [0.5797841561098745, 0.320973558102861], [0.5793691857037431, 0.32120328933362985], [0.5786638166320659, 0.3215943471800041], [0.5779421311341995, 0.32199542630381467], [0.5797718266825356, 0.3209760273599507], [0.5787197709032861, 0.3215584714682076], [0.5784464951332929, 0.3217103137644387], [0.5801720183372873, 0.32075064227185424], [0.5820561979729131, 0.31970896530505644], [0.5845113520555313, 0.31836041034738743], [0.5844159130582434, 0.3184123922263242], [0.5841040802939395, 0.31858229077671957], [0.5859208728412831, 0.3175913750287804], [0.5877960870953534, 0.31657493765467604], [0.58682915670953, 0.31709570656302505], [0.586228047607103, 0.31742051850083725], [0.5879103392930785, 0.31650962059785964], [0.5893968849348197, 0.3157093182972832], [0.5884055328500454, 0.3162403341524337], [0.5902725833859087, 0.3152368821922167], [0.5895019102668497, 0.31564846253336676], [0.5913070187219237, 0.3146819182378747], [0.5903468298107452, 0.3151929118146016], [0.5921599578579322, 0.31422486205160244], [0.5917657027704517, 0.3144340703049346], [0.5916279352541284, 0.3145072729266995], [0.5936244957879162, 0.3134459085601826], [0.5925532637201616, 0.31401154106210705], [0.5912661857852209, 0.31469360181607264], [0.5930819675102285, 0.3137271760253003], [0.5947646489972248, 0.3128370749263214], [0.5969437574114955, 0.3116908973526927], [0.5958802076587174, 0.31224622400232566], [0.5950129303863022, 0.312700684563348], [0.5939998455846918, 0.31323309704517194], [0.5931310582120243, 0.3136912334595787], [0.5921537887347259, 0.31420808528096245], [0.5910158613590691, 0.31481189123255127], [0.589940607529988, 0.3153846384524138], [0.5915990196703232, 0.3144980446044761], [0.593536501520185, 0.31346806613429923], [0.5917288463061365, 0.3144227541488258], [0.5935640666123136, 0.31344758616987706], [0.5925694409919168, 0.3139728251750538], [0.5915047437391552, 0.31453695484709043], [0.5932840149298466, 0.3135908144347085], [0.595008550124323, 0.31267928069614803], [0.5969733735609913, 0.3116467584260999], [0.5977610705279168, 0.3112355454353093], [0.5994459869299611, 0.3103582620168023], [0.6011256909135422, 0.30948860900316416], [0.6000038059905484, 0.310066209677245], [0.6005206188533061, 0.3097991343622757], [0.5994730158273832, 0.3103395762728398], [0.6011135359831816, 0.309490299797376], [0.600072202765425, 0.31002644232363835], [0.5985074426970323, 0.3108348733671998], [0.6008159123739616, 0.30963596951319444], [0.6026073162781074, 0.3087127531448759], [0.6016901891150439, 0.3091825928627903], [0.6034419387629922, 0.3082824444010118], [0.6053200398995231, 0.30732297245846024], [0.6041047401255252, 0.30793998414542695], [0.6031889742462186, 0.30840679215341577], [0.6024118503660509, 0.3088041307872789], [0.601658958783386, 0.3091900727813161], [0.6033322181682608, 0.3083301916419451], [0.6034585089944894, 0.30826565128841993], [0.6051088622091204, 0.30742259878194045], [0.604384599482596, 0.3077905569188882], [0.6082128494537313, 0.3058409718506234], [0.6071500594109441, 0.30637539781655154], [0.608934159232731, 0.3054751190729824], [0.6107399631361591, 0.304569227764278], [0.612793026626062, 0.3035453878333525], [0.6159747864553534, 0.3019693116062903], [0.6170179569295703, 0.3014579181581916], [0.6187102360499183, 0.300631117357934], [0.6202244906951795, 0.2998953414818539], [0.6219070255168853, 0.2990817903201689], [0.6207684523223785, 0.2996293424388165], [0.6226205526495444, 0.29873538012310397], [0.6244039076855175, 0.2978797205367014], [0.6233931774300552, 0.29836190208990643], [0.6229678815719755, 0.29856545273139845], [0.6218628945470189, 0.2990950321224514], [0.6206971538998773, 0.29965571396946405], [0.6223922014307208, 0.29883739109674634], [0.6240894272034913, 0.2980224796616882], [0.6227704904150154, 0.29865231377693663], [0.6254720705813731, 0.2973567591866751], [0.6274349849513303, 0.2964235666700709], [0.6289870401340653, 0.295690318215698], [0.6278261042866725, 0.2962360806372424], [0.6293829456979114, 0.2955014941097147], [0.631165664674033, 0.29466448998587796], [0.6328215300465914, 0.29389143664537004], [0.6317805227051737, 0.29437489545421475], [0.6334034276861223, 0.2936187111988767], [0.6349083484211515, 0.2929210943762303], [0.63474468800517, 0.2929966006887156], [0.6344811340234722, 0.2931182565642112], [0.633250512565695, 0.29368678034979123], [0.6321675165947821, 0.2941890485572666], [0.6337164481274647, 0.29346822902459774], [0.6334785945560241, 0.2935783768148028], [0.634954076934265, 0.2928945814579504], [0.6367727991591096, 0.29205563277774643], [0.6383666716050378, 0.29132460370995755], [0.6399269139164194, 0.29061257253215195], [0.6406620499919297, 0.2902787222417215], [0.6393055986537068, 0.29089331922190376], [0.6400213439135104, 0.290567644748256], [0.6404920210345056, 0.2903539588395202], [0.6395094160439064, 0.2907994027164558], [0.6411636417904598, 0.29004718883658565], [0.6427855131610356, 0.28931349278611035], [0.6417069031428831, 0.2897989679956731], [0.643221225851986, 0.2891150901128561], [0.6446372313101092, 0.28847862394978235], [0.6461316381507776, 0.2878098688607519], [0.6479704214973324, 0.2869908097672366], [0.6494902773381133, 0.2863176545675483], [0.6507647436672903, 0.28575582597222154], [0.6502908112461196, 0.2859639333593911], [0.6518271848555237, 0.2852883164925114], [0.6556511890663409, 0.2836146463098139], [0.6543397110177444, 0.284181951592102], [0.6558348435715067, 0.2835326104626202], [0.6543406953093304, 0.28417856540287006], [0.6542707034816956, 0.2842089626826202], [0.6539640702981067, 0.28434216121736755], [0.6559728880906547, 0.2834687315924577], [0.6547329346352403, 0.28400455866644414], [0.6561710729186218, 0.28338073510898004], [0.6574907941543379, 0.2828107868297109], [0.6590799272104736, 0.28212724270410694], [0.6560793088812771, 0.28341169416541395], [0.6580676887827067, 0.282552758197033], [0.6599023218407829, 0.28176502672248244], [0.6581180039074465, 0.2825268946134235], [0.6570624440301102, 0.2829800413932589], [0.6557628012892059, 0.28353976438451944], [0.6572330966682219, 0.28290403572695877], [0.6557103746167628, 0.2835594869144173], [0.6529982634183139, 0.28473232920829816], [0.6516693979125504, 0.2853117656200888], [0.6510998350781583, 0.285561129758458], [0.652525949631809, 0.2849356605736031], [0.6513274730398171, 0.2854589941201293], [0.6527744583651693, 0.2848248200792987], [0.6516572115129351, 0.2853123079544658], [0.6552346412405222, 0.2837460170977237], [0.653318426215546, 0.2845758242340045], [0.6533330996637233, 0.28456943269744], [0.6521217849615372, 0.28509703972943734], [0.6534990556444239, 0.284494919383741], [0.6550402396034516, 0.2838239788484915], [0.6548245250790705, 0.28391744631950105], [0.6537044481256415, 0.28440308693942207], [0.6525355125334549, 0.2849116484029466], [0.6541249470362227, 0.2842176656303402], [0.6554435494419583, 0.28364473212680885], [0.6541751652300043, 0.28419362836713324], [0.6525932276428149, 0.2848808702660146], [0.6540430732388193, 0.2842479595068378], [0.6513885280214274, 0.28540162826710114], [0.652945470213286, 0.28471946421667815], [0.6548165985824688, 0.28390355126367106], [0.6536196993016815, 0.28442248123132313], [0.6524105413630931, 0.2849486460661059], [0.6511019454641833, 0.2855201920574735], [0.6525785422258341, 0.2848726771883888], [0.6465012590641978, 0.287525617504787], [0.6380999188087019, 0.29126203798496647], [0.6369001287360929, 0.2918096846644311], [0.636137728354897, 0.29215899502689924], [0.6348986399800102, 0.2927280711848134], [0.6365132474192636, 0.29198363594483845], [0.6357084477487033, 0.2923528165313701], [0.6369583325668087, 0.2917780131789733], [0.6403359636543374, 0.29023078718696965], [0.6418515657171198, 0.28954384407474276], [0.6434652713826138, 0.28881588987699874], [0.6459884561096118, 0.287683372125596], [0.6475173079415677, 0.28700251591781445], [0.6509349496791287, 0.285487696522015], [0.6496439598010505, 0.2860539001445236], [0.6511840839720818, 0.28537574633552754], [0.6527923596122673, 0.28467093356072565], [0.6543552973736834, 0.28398936468957053], [0.656660111361519, 0.2829890783577258], [0.6581435423067572, 0.2823497906215941], [0.656945572050424, 0.2828637311669363], [0.655558545533251, 0.28346094882478656], [0.6571919602435892, 0.28275466669823723], [0.6558059219484649, 0.2833510050892662], [0.6546045753316243, 0.2838700653172236], [0.6538394135764337, 0.2842018786372178], [0.6523891901067006, 0.28483224172941424], [0.6543522809784326, 0.28397515889880737], [0.6557771390878889, 0.28335680037878186], [0.6572428575063205, 0.28272347351124166], [0.6602043881869468, 0.28144952396371276], [0.6589002012771701, 0.28200550752196263], [0.6606450921283776, 0.28125870424415], [0.662904321071422, 0.2802968749462672], [0.6644007874907365, 0.2796641217004927], [0.6658707680072272, 0.2790453674518504], [0.6673593812279583, 0.27842153675807213], [0.6659994389808582, 0.27898890303925505], [0.6648665188648792, 0.27946348623240574], [0.6635821897235272, 0.28000332857538446], [0.6637912054294786, 0.27991513287890973], [0.6624979833548207, 0.2804604736817237], [0.6639880303561243, 0.2798296803837918], [0.6625687989214649, 0.2804277982121183], [0.6610297566497401, 0.2810791875264321], [0.6623408632458399, 0.28052168648644854], [0.6610912276052504, 0.2810509455384627], [0.6626882109883004, 0.28037201701684056], [0.6614860819311716, 0.28088061720449004], [0.6640648346137435, 0.2797856256923725], [0.6636775060591734, 0.2799488160261175], [0.6649113899250478, 0.2794283458817904], [0.6635479860270619, 0.2800013150048279], [0.6624524461602637, 0.28046360651923724], [0.6639479531524468, 0.2798304512081903], [0.6649871142665945, 0.27939248175279957], [0.6644380464520475, 0.2796231710640144], [0.6659038399619519, 0.2790063041769463], [0.667193205634887, 0.27846607429757086], [0.6686952609155474, 0.2778391622819046], [0.6695898701342375, 0.2774674571264797], [0.668373000242563, 0.2779717087729824], [0.6680614121126991, 0.2781012961214543]]"
